"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
201406,27760,40364,137,79,29
201412,23900,32731,140,116,26
201506,26503,39659,222,133,14
201512,24963,38757,260,141,30
201606,28914,47165,667,132,23
201612,25363,40514,754,145,34
201706,29057,47159,1252,319,74
201712,24064,43471,2099,341,123
201806,26721,55380,3770,434,172
201812,24823,44461,3698,554,177
201906,22258,51557,5009,1166,695
201912,20835,48940,6834,1190,1633
202006,16528,38395,9405,1819,1264
202012,17252,39395,12102,3341,821
202106,14801,39522,17570,5130,770
202112,12242,30391,14509,8467,451
202206,9618,30611,15467,10080,331
202212,6165,23788,13379,13097,565
202306,5639,23701,14817,18970,367
202312,4717,18768,17754,20633,397
202406,4000,21399,17007,16280,236
202412,3335,18542,16703,19639,161
202506,3560,18016,12988,23415,101
202512,4116,15936,9698,25071,82
202606,3484,16734,6835,28569,48
