"YYYYMM","Other","Hybrid","Battery electric"
2019,260185,2209,926
2020,182387,4697,1307
2021,232577,16366,1329
2022,234504,24556,3278
2023,154732,27813,3677
2024,149107,42668,9178
2025,148062,59518,16490
