"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
202203,394457,836718,521300,196470,224141,74478
202206,409859,907465,538087,206101,233434,69415
202209,361903,821022,491831,184349,259168,59926
202212,354382,802915,547238,287793,406741,73229
202303,398134,991164,668769,189349,320878,83527
202306,391462,1027440,689262,212427,382431,84586
202309,328160,855813,642393,196456,407500,69531
202312,316089,848535,718923,215919,427235,83699
202403,354730,982281,799137,204659,333401,94768
202406,374156,1029070,859726,188089,379022,85211
202409,262795,735692,741397,158901,335080,69005
202412,274693,797697,885583,208806,400209,78186
202503,259205,778654,964767,206839,412936,92304
202506,265663,805812,978149,263033,456605,92877
202509,221938,648334,851228,252883,431082,75672
202512,212942,650356,942686,290874,579801,90762
202603,218655,638516,1087990,267927,547042,63248
