"YYYYMM","Diesel","Petrol","LPG / LPG blend","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2002,40282,107471,0,0,0,0,1
2003,47950,101596,0,0,0,0,0
2004,40208,92765,0,0,0,0,0
2005,35320,89701,0,0,0,0,2355
2006,34873,85866,0,0,0,0,3248
2007,36759,92137,0,0,0,0,3646
2008,34618,101686,0,0,0,0,7357
2009,51364,104885,19,0,0,5,5386
2010,67681,96942,69,0,0,6,4538
2011,68510,100152,127,0,0,56,4437
2012,72012,97073,514,356,0,89,3965
2013,69746,91389,647,438,0,37,2479
2014,80128,106786,1481,386,0,197,3336
2015,99298,124131,1279,1024,0,268,4857
2016,110575,141691,498,1541,0,200,5188
2017,102641,158796,1200,2826,0,307,5825
2018,78555,171159,816,4553,278,618,5458
2019,68312,166953,406,7873,470,636,5265
2020,58978,121741,1280,10693,1978,2866,5436
2021,48055,124513,2259,19338,3735,2646,6330
2022,42202,108269,3966,24669,3560,3892,5529
2023,48897,118184,3502,35151,5653,6640,3395
2024,50449,113964,4589,45532,5900,10933,233
2025,42581,117692,6455,57120,11033,13806,32
2026,19255,45889,2059,24748,4971,6479,9
