"YYYYMM","Diesel","Petrol","LPG","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201806,67094,195076,4668,10500,346,319,0
201812,66015,177037,3241,11900,294,357,0
201906,57547,201593,5140,12700,404,948,0
201912,54460,196431,3454,21700,675,546,0
202006,33026,120305,1906,22200,1254,1130,0
202012,47966,148670,7482,38800,3054,2554,0
202106,35032,133840,6305,60984,4566,2332,54
202112,22880,104739,8245,59168,4814,4658,20
202206,23849,103704,6269,68792,4946,4808,37
202212,23532,101374,5726,65487,4739,6485,1
202306,24353,106651,6272,86055,6633,8496,76
202312,23024,94138,6197,97983,6424,8585,7
202406,24458,100746,7595,128019,7262,8872,5
202412,24654,105733,8953,119870,7684,7699,12
202506,14175,58399,5037,95432,8366,7659,5
