"YYYYMM","ICE","Hybrid","Battery electric"
202301,14354,0,358
202302,20434,0,416
202303,24484,0,915
202304,18074,0,3798
202305,16630,0,2996
202306,20957,0,3155
202307,20909,0,3042
202308,18359,0,3000
202309,24078,0,2800
202310,24913,0,3500
202311,28773,0,3800
202312,40277,0,4300
202401,15294,576,2313
202402,8581,205,1682
202403,20608,645,3259
202404,18516,517,3575
202405,19064,929,4100
202406,20397,576,4416
202407,23558,695,5047
202408,19819,470,6308
202409,30455,1044,9300
202410,33205,1442,11000
202411,39726,1288,16000
202412,27852,1479,20000
202501,13399,904,10000
202502,13743,756,12500
202503,22285,902,12100
202504,19046,1124,9588
202505,18323,1049,11496
202506,20873,1191,11382
202507,20966,1186,11479
202508,16349,1302,10922
202509,20963,1371,13927
202510,26565,1397,20388
202511,28861,1340,23186
202512,37938,1649,27650
202601,27305,863,16172
202602,12435,1119,9904
202603,22955,3143,27609
202604,18852,1723,24823
202605,18472,1670,19517
202606,18042,2347,17961
202607,0,1636,21787
