"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric"
2005,1131768,0,0,0
2006,1139736,0,0,0
2007,1099890,0,0,0
2008,1025544,0,0,0
2009,754925,0,0,0
2010,820413,0,0,0
2011,905893,0,0,0
2012,988042,0,0,0
2013,1065098,0,0,0
2014,1136965,0,0,0
2015,1354444,0,0,0
2016,1598900,7490,521,254
2017,1524389,9349,968,237
2018,1409183,16022,1676,205
2019,1292323,23938,1365,305
2020,925658,21970,1986,449
2021,967656,42447,3492,1140
2022,1043663,40859,4575,5631
2023,1289396,54368,5778,14172
2024,1373416,92026,7994,24290
2025,757264,59973,5700,10889
