"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Ethanol","Others"
200606,26835,116617,1399,0,2,13664,1958
200612,34368,103385,1452,0,0,12454,1678
200706,48636,103624,1760,0,0,15265,1139
200712,64928,80677,1634,0,2,20248,625
200806,53509,66328,2212,0,1,30046,495
200812,43656,48187,2034,0,0,28978,898
200906,41193,43663,1018,0,18,22822,2274
200912,49990,44263,2067,0,11,17343,3866
201006,70461,54552,1909,0,4,17949,3795
201012,83821,53676,1811,0,7,17516,3233
201106,99387,56780,1692,0,142,8027,2926
201112,95766,49672,1235,0,43,7256,3723
201206,100267,46165,932,68,130,3610,2846
201212,95152,44400,2110,590,134,2294,2637
201306,86775,47961,2244,659,172,1298,2153
201312,88663,54890,2926,450,280,1945,1762
201406,96321,57793,3223,1697,472,1449,2217
201412,91713,58732,3831,1714,794,1242,2839
201506,102990,63407,4150,1952,1472,757,2732
201512,103410,68169,4619,3800,1444,613,2417
201606,105145,76638,6343,4520,1401,437,2054
201612,95912,78682,7293,5770,1592,419,1808
201706,103529,78299,8878,5955,2292,530,1389
201712,87538,79256,9761,10034,2067,560,2640
201806,95560,109345,11673,10925,2271,474,1939
201812,41849,64463,9347,10886,4876,546,1381
201906,62177,78938,11552,10883,8436,65,1754
201912,60562,92967,13900,14024,7359,1102,3242
202006,34205,54702,8264,23413,9310,33,1675
202012,33867,59937,14368,42721,18788,37,1876
202106,35246,60396,13897,46741,22768,338,883
202112,18488,37074,10240,31459,35113,962,708
202206,21716,37453,13962,35172,40360,1161,673
202212,15072,29794,13622,31603,55803,1547,1282
202306,14141,32677,13131,29229,52873,2187,973
202312,12357,32100,13409,32006,59902,2035,1087
202406,11765,34205,13499,30989,42321,2521,1009
202412,10393,32244,11969,32285,52518,1485,135
202506,11354,34407,11438,36943,50062,1722,26
202512,8563,24082,9781,30156,39983,121,17
