"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2010,37404,12042,245,0,1,34
2011,38194,11316,273,21,31,46
2012,38405,11305,550,22,76,40
2013,34243,11847,346,11,158,19
2014,35845,13097,445,56,312,38
2015,32867,13021,468,25,73,19
2016,32713,16900,682,108,145,13
2017,28461,22368,863,687,386,10
2018,24761,25811,1085,713,430,11
2019,23022,27837,2245,913,986,5
2020,16628,19589,3797,2685,2473,17
2021,11194,16839,7224,4444,4649,22
2022,9236,14559,8028,3854,6391,26
2023,7482,16307,9474,4806,11048,38
2024,5749,13783,10416,3820,12777,90
2025,3687,9471,10903,3008,9397,28
