"YYYYMM","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Other"
201806,521517,9565,0,20,7
201812,461233,10491,0,89,5
201906,555331,13528,0,68,9
201912,436235,12919,0,623,9
202006,423707,13641,0,828,10
202012,364338,14734,1084,460,9
202106,428273,20132,3815,908,0
202112,308295,14207,3245,1050,0
202206,444591,32527,5947,3041,0
202212,361451,31041,5384,6633,0
202306,394256,45803,6272,31703,0
202312,280589,38665,5431,44658,8
202406,254802,71620,4896,37679,21
202412,187879,54985,4476,32903,20
202506,196153,71595,11324,57272,18
