"YYYYMM","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201706,918856.000000,11155.000000,4390,3861.000000,28574.000000
201712,886845.000000,12656,5378,5225.000000,31012.000000
201806,882277.000000,12379,10796,10040,33114
201812,842899.000000,13432.000000,9502.000000,12542.000000,31183.000000
201906,847063,19653.000000,9611.000000,17653,26489
201912,830891,18963,10222,17897,27076.000000
202006,549772.000000,14120.000000,6325,14228,24497
202012,761664,26655.000000,8266.000000,24818.000000,35522.000000
202106,711947,35562.000000,11806,29035,35862.000000
202112,651165,33249,14312.000000,30098,25145.000000
202206,616249.000000,38479.000000,12871,41098,36335.000000
202212,582051.000000,36830,9909,56610.000000,34390
202306,627777,60226.000000,17666.000000,58794,33942
202312,640024,71005,25603.000000,82958,35064
202406,673437,70601,29344.000000,83756,36742
202412,610139,86771,38454,117246.000000,38354
202506,688537.000000,111869,27384,54583.000000,45046
