"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201306,429294,230855,4152,182,188,2817
201312,353047,196067,3308,205,433,2554
201406,417857,239623,5182,551,657,3331
201412,344467,199200,4562,505,700,2584
201506,412509,250512,5234,1531,916,2677
201512,354300,212875,4296,1437,788,2354
201606,386892,278298,6449,4054,1297,3593
201612,328680,232770,6254,4146,1252,2861
201706,376221,303191,9358,6598,1813,3584
201712,305462,247077,7249,7247,1679,3318
201806,335874,346817,11093,7187,2096,4999
201812,259605,278873,9291,5024,2460,3128
201906,287026,348932,16398,4743,5234,4008
201912,250905,306767,17327,6296,5053,3516
202006,205492,258504,21740,11064,5742,3225
202012,240652,280401,27082,25389,11426,4052
202106,213330,292971,47581,30474,11240,3541
202112,167739,239289,38234,28019,17161,3152
202206,162323,251750,51282,37441,21946,3410
202212,133679,238774,44827,38687,24825,3025
202306,149336,284844,64937,64109,49088,4116
202312,124315,246623,58895,60770,57025,3062
202406,126544,283366,86059,56845,74613,3915
202412,105467,246360,75230,32045,76819,3256
202506,100796,260079,104313,32376,89686,3688
202512,86906,238820,88936,33490,85974,2961
202606,81406,250899,120282,26694,104583,3954
