"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric","Other"
202001,8593,1136,38,18,0
202002,6865,936,28,33,0
202003,3200,502,22,20,0
202004,1944,429,37,24,0
202005,3798,639,39,21,0
202006,7125,1040,65,19,0
202007,8200,1190,91,35,0
202008,5925,782,96,50,0
202009,5591,1273,176,67,0
202010,5418,1206,131,92,0
202011,5780,1521,226,114,0
202012,4689,1064,502,188,0
202101,5658,1717,323,69,0
202102,4884,1479,259,68,0
202103,6555,1851,296,282,0
202104,7413,2254,381,150,0
202105,8072,2225,455,98,0
202106,10225,2831,455,366,0
202107,7386,2584,473,147,0
202108,4190,1619,323,68,0
202109,4342,1680,349,241,0
202110,4025,1737,475,99,0
202111,4476,1850,547,295,0
202112,3410,1499,453,293,0
202201,3327,1424,271,92,408
202202,5129,2471,488,135,272
202203,5136,2292,515,278,189
202204,5664,2641,533,229,222
202205,7823,3119,525,234,290
202206,6391,3573,475,318,334
202207,7198,2644,355,227,450
202208,5814,2003,381,198,262
202209,5002,2622,377,282,323
202210,4556,2058,592,241,344
202211,4386,2622,466,283,313
202212,3837,1550,515,310,274
202301,7056,2516,447,273,240
202302,5975,2832,497,395,257
202303,7517,3829,822,724,392
202304,5966,3017,434,463,359
202305,7520,3715,725,720,277
202306,7678,4065,695,637,319
202307,6431,4273,685,573,418
202308,5416,3684,636,403,229
202309,5890,3318,1090,755,348
202310,5602,3857,1133,416,274
202311,5331,3354,996,443,328
202312,3565,3100,666,577,332
202401,6780,4586,798,450,138
202402,5752,4445,525,581,148
202403,6204,4662,689,549,361
202404,7317,4523,783,604,218
202405,6575,5977,646,405,157
202406,6257,6445,590,752,103
202407,4848,5469,814,882,192
202408,2992,3948,484,514,211
202409,3087,4503,734,865,472
202410,2995,4670,750,918,337
202411,3518,4725,727,1106,590
202412,2433,3964,722,1081,504
202501,4134,5122,753,527,123
202502,3352,5002,610,718,136
202503,5045,6048,670,775,181
202504,5690,7022,819,630,488
202505,5723,7459,1066,746,676
202506,4986,7153,1008,869,631
202507,4284,7202,1056,611,453
202508,2475,4194,813,428,281
202509,3165,6661,1148,850,449
