"YYYYMM","Diesel","Petrol","LPG","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201803,33576,103193,2432,5300,156,186,0
201806,33518,91883,2236,5200,190,133,0
201809,31780,90968,1764,5500,138,148,0
201812,34235,86069,1477,6400,156,209,0
201903,30246,101908,2144,4900,199,412,0
201906,27301,99685,2996,7800,205,536,0
201909,25932,93505,3002,9600,213,245,0
201912,28528,102926,452,12100,462,301,0
202003,19778,72912,684,13100,575,587,0
202006,13248,47393,1222,9100,679,543,0
202009,22297,72366,2663,15900,1011,1043,0
202012,25669,76304,4819,22900,2043,1511,0
202103,17901,66106,3099,27843,1976,936,4
202106,17131,67734,3206,33141,2590,1396,50
202109,11508,54811,4186,30761,2276,1600,10
202112,11372,49928,4059,28407,2538,3058,10
202203,10516,51858,3647,31308,2423,2252,37
202206,13333,51846,2622,37484,2523,2556,0
202209,11458,52658,2754,31941,2361,3103,0
202212,12074,48716,2972,33546,2378,3382,1
202303,11584,55303,3136,45727,3000,4095,50
202306,12769,51348,3136,40328,3633,4401,26
202309,10688,46629,2560,45262,2838,3665,1
202312,12336,47509,3637,52721,3586,4920,6
202403,11263,50820,4421,64234,3759,4198,1
202406,13195,49926,3174,63785,3503,4674,4
202409,10243,47388,3075,54353,2973,3632,7
202412,14573,62993,5868,61356,4068,4067,5
202503,10769,43952,3790,72671,5809,5107,2
202506,10907,44742,4541,66085,7646,9149,119
202509,9970,44271,4161,64602,8022,11573,0
202512,6624,31492,3689,43551,6595,9798,0
