"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
202201,225,533,346,13,52,30
202202,211,530,272,15,47,27
202203,223,688,364,25,60,35
202204,214,705,270,17,66,25
202205,217,880,369,22,119,16
202206,199,864,361,39,70,27
202207,251,706,353,41,78,40
202208,280,611,425,24,112,36
202209,257,682,459,23,99,18
202210,218,612,412,39,109,21
202211,309,540,431,24,153,32
202212,236,514,285,9,107,32
202301,239,491,401,21,183,40
202302,256,624,370,19,100,20
202303,277,792,537,34,150,23
202304,210,792,405,34,159,26
202305,268,883,464,37,179,39
202306,303,772,570,44,193,51
202307,327,786,443,31,124,28
202308,262,652,528,23,151,19
202309,196,635,368,31,176,19
202310,205,643,392,22,144,34
202311,183,528,445,35,105,23
202312,223,420,348,17,83,24
202401,279,772,0,32,86,33
202402,282,794,0,28,78,36
202403,274,1022,0,48,98,43
202404,296,1032,0,47,101,29
202405,378,1134,0,33,112,25
202406,312,1103,0,58,111,26
202407,242,965,0,57,104,28
202408,312,902,0,54,114,23
202409,237,921,0,90,124,33
202410,342,937,0,121,114,33
202411,380,783,0,105,119,29
202412,387,647,0,93,97,36
202501,334,763,0,126,84,36
202502,281,885,0,134,80,18
202503,294,1361,0,220,130,31
202504,297,1373,0,242,136,19
202505,243,1453,0,250,161,42
202506,228,1579,0,242,152,43
202507,302,1427,0,305,175,27
202508,224,1261,0,278,155,38
202509,250,1357,0,276,175,29
202510,211,1208,0,244,126,42
202511,242,1097,0,243,102,37
202512,216,874,0,182,126,40
202601,225,1007,0,163,99,16
202602,173,1003,0,136,91,40
