"YYYYMM","Internal combustion","Non-plugin hybrid","Plugin hybrid","Battery electric"
201012,1115903,28592,326,19
201101,799974,19540,321,103
201102,969865,23306,281,83
201103,1211229,34533,608,298
201104,1131260,25602,493,573
201105,1042791,17419,481,1150
201106,1038490,12655,561,1708
201107,1039052,19621,125,932
201108,1049533,21181,302,1363
201109,1034382,17625,723,1031
201110,999154,20057,1108,866
201111,966764,26110,1139,773
201112,1209943,31100,1529,1212
201201,890078,21779,603,824
201202,1111548,36222,1023,639
201203,1352256,48206,3200,961
201204,1141071,39901,3116,479
201205,1294080,37184,2766,612
201206,1247623,34558,2455,863
201207,1119132,31611,2537,479
201208,1242179,38369,3878,866
201209,1148254,34836,4503,1306
201210,1051770,33290,4994,2240
201211,1101756,35002,4544,2614
201212,1304711,43690,4965,2704
201301,1003901,34611,2354,2372
201302,1146671,40173,2789,2666
201303,1399079,46327,3079,4553
201304,1235504,42804,2735,4403
201305,1386761,48796,3209,4545
201306,1349455,44924,4169,4573
201307,1260908,45494,3499,3943
201308,1436911,53020,6407,4956
201309,1095503,33576,4477,3650
201310,1162512,33570,6367,3733
201311,1198934,36085,4903,3930
201312,1312789,36155,5020,4770
201401,977727,27555,2934,2971
201402,1154861,30561,3721,3324
201403,1484308,43790,4594,4578
201404,1342968,39430,4718,4187
201405,1544998,52227,6651,5802
201406,1371245,39225,6511,4982
201407,1379884,44488,5740,5693
201408,1525763,48208,5920,6483
201409,1205061,31385,3357,5983
201410,1240578,30892,3735,5927
201411,1261761,31109,3609,6176
201412,1463340,33302,3867,7419
201501,1121078,25312,2113,3977
201502,1224508,27038,2589,4435
201503,1503321,33654,3020,5715
201504,1413864,32379,2962,6037
201505,1583222,40257,4416,7057
201506,1433758,32330,3409,6975
201507,1466296,35666,3836,5143
201508,1530536,37633,3786,5224
201509,1400265,32106,3038,6704
201510,1414847,30485,4081,5740
201511,1282679,25153,4275,6103
201512,1596089,32387,5483,7954
201601,1120407,20967,3137,3576
201602,1311218,24371,3909,4424
201603,1553875,28756,5319,7115
201604,1465335,28988,5842,6266
201605,1492952,30573,5619,6526
201606,1471524,27681,6113,7678
201607,1474325,32633,6525,7762
201608,1464226,32206,6372,8601
201609,1387128,31286,6037,10032
201610,1332886,26484,5943,5408
201611,1336014,28497,7858,6266
201612,1630573,34507,10211,13077
201701,1108871,22630,5669,5398
201702,1292680,28355,6247,5846
201703,1505431,32012,7384,10171
201704,1382673,30949,7300,5961
201705,1469381,33729,8645,8038
201706,1428296,30073,7787,8814
201707,1372484,29050,7407,7802
201708,1433458,34850,7668,8850
201709,1467063,37319,7719,13421
201710,1313881,29451,6665,6792
201711,1352722,30075,8408,8435
201712,1548092,32187,10289,14959
201801,1113898,21718,6241,9154
201802,1253718,24609,8783,6653
201803,1596264,28165,11601,11060
201804,1305994,24827,9931,12794
201805,1531256,31602,11403,12232
201806,1489196,31038,10485,12997
201807,1310105,28203,9269,15387
201808,1421679,30182,10132,20222
201809,1365211,31985,10777,24163
201810,1291793,28614,9937,29937
201811,1319431,27453,11580,24089
201812,1545907,29753,13744,28374
201901,1081052,19153,6010,26942
201902,1211529,22730,6610,10644
201903,1542530,30926,8074,17281
201904,1267452,33082,5908,20113
201905,1511356,44162,7949,18012
201906,1439007,39247,7999,23421
201907,1329363,36341,7197,23559
201908,1568595,42830,8433,18864
201909,1209674,29848,5816,21812
201910,1272078,32457,6388,23072
201911,1351037,32962,7733,11421
201912,1450182,35706,7674,18681
202001,1077899,27166,5104,26391
202002,1300999,32309,6111,11151
202003,944648,23591,3481,18234
202004,690981,14268,2015,8058
202005,1078812,27740,3911,8626
202006,1038564,41590,4206,16809
202007,1164602,43738,5228,23075
202008,1252110,42191,6478,17291
202009,1263035,43293,6670,28101
202010,1273597,47611,7755,29959
202011,1121819,47724,7369,22225
202012,1502310,63846,10721,28620
202101,1026877,46843,7463,25103
202102,1104470,54045,9046,26215
202103,1466013,78123,12261,40755
202104,1389867,76397,18604,33547
202105,1437199,82511,20807,29796
202106,1173692,65960,16648,45913
202107,1148823,74298,15669,42013
202108,975119,67976,14067,35499
202109,901259,60102,12554,42020
202110,926773,63482,18275,42485
202111,894228,59326,14170,46687
202112,1068016,69983,16553,49441
202201,873717,63093,11983,42780
202202,928027,58175,12563,46859
202203,1100778,76683,16200,64160
202204,1094171,71849,17875,52537
202205,971561,68737,15263,52502
202206,993681,61039,14838,74262
202207,989052,59229,13932,64310
202208,1001763,58869,13797,59836
202209,985179,55892,13415,69811
202210,1025537,66661,17603,71739
202211,992291,57086,16183,69924
202212,1100777,69099,19759,79262
202301,898313,60069,15593,72944
202302,973489,66320,17789,81158
202303,1167229,94289,21397,92077
202304,1140271,100528,24165,92880
202305,1138963,103832,25125,95898
202306,1142866,100762,22560,102525
202307,1071086,103757,23194,101234
202308,1087675,107325,27497,96091
202309,1089562,109228,28807,113383
202310,980207,103699,21778,92478
202311,1000181,108549,24530,102323
202312,1178965,117098,41143,121647
202401,871176,91929,25086,82336
202402,1021755,105933,27167,74141
202403,1178791,123870,32728,96743
202404,1073083,118822,26263,99313
202405,1157828,139053,26777,107423
202406,1049511,135609,23635,100242
202407,1015139,134073,23172,113327
202408,1116341,150630,26413,118961
202409,918414,127486,20789,104977
202410,1056533,150683,26264,98289
202411,1069161,160025,29743,114564
202412,1160130,170935,30687,132468
202501,858443,132576,19939,92069
202502,963020,146846,20944,85867
202503,1244288,193384,35518,117882
202504,1148282,188865,31003,96150
202505,1144497,192226,25325,101243
202506,987370,154889,18255,92514
202507,1074872,167183,21138,125466
202508,1111429,181048,26004,148769
202509,929974,150988,20040,140579
202510,1020029,166298,12865,69733
202511,1032231,157758,18121,65280
