"YYYYMM","Diesel","Petrol","LPG","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2003,1084766,1155775,1172,11,0,143,5876
2004,1314618,937194,389,495,0,42,12134
2005,1308373,903626,1833,1112,0,30,22682
2006,1352264,941798,3491,2192,0,28,26624
2007,1387986,1011700,29993,3452,0,24,60664
2008,1093447,911796,74255,3337,0,132,79268
2009,903116,780943,339591,7584,0,63,128015
2010,901127,710813,279104,4843,0,116,65556
2011,965479,683921,55746,5162,0,307,38364
2012,753269,467868,129410,6839,0,520,53800
2013,705096,400677,115564,14306,0,851,68033
2014,753033,392923,123996,20471,0,1079,72064
2015,876078,490252,120527,25331,0,1420,62708
2016,1053799,597902,102103,38060,0,1370,43660
2017,1123244,627763,129591,66041,0,1879,32658
2018,986761,677778,125104,82027,4237,4948,37327
2019,766617,851969,136524,108544,6816,10533,38527
2020,458708,522406,94077,222956,27328,32471,31587
2021,331365,437224,107734,427158,69241,67484,31415
2022,266482,366796,118765,454725,67711,49537,10732
2023,282269,449722,143584,575066,70103,66664,1904
2024,218520,459779,145409,633694,52637,65982,1241
2025,122317,325670,119953,575401,77434,66365,5
