"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric","Other"
2020,67128,11718,1451,681,0
2021,70636,23326,4789,2176,0
2022,64263,29019,5493,2827,3681
2023,73947,41560,8826,6379,3773
2024,58758,57917,8262,8707,3431
2025,18221,23194,2852,2650,928
