"YYYYMM","Diesel","Petrol","Hybrid","Battery electric","Other"
2000,13465,324284,0,0,27
2001,16076,376110,0,0,17
2002,17482,415120,0,0,13
2003,19181,395809,0,0,9
2004,24507,440638,1,0,38
2005,27872,513061,0,0,418
2006,25929,432854,0,0,36
2007,25715,438713,0,0,5
2008,29460,506095,0,0,38
2009,31533,490909,2,1,4
2010,42634,546349,2,0,4
2011,48370,540550,381,6,2
2012,55951,544241,12746,25,3
2013,57982,567885,14809,17,3
2014,57346,587889,5291,27,4
2015,56616,590429,6993,55,5
2016,46647,514996,3168,41,0
2017,43180,506968,6412,25,1
2018,48315,524017,6832,10,2
2019,38852,543543,5957,44,9
2020,35781,494068,1924,71,4
2021,41742,465094,2727,257,0
2022,60572,634785,15371,3122,1
2023,60523,702878,22210,13287,0
2024,51089,727659,24509,21663,0
2025,32455,508467,21906,25073,1
