"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Ethanol","Others"
200601,3521,13617,216,0,2,1646,171
200602,3444,14687,163,0,0,1798,234
200603,4764,19609,214,0,0,3165,255
200604,4598,21439,239,0,0,2105,370
200605,5168,24117,260,0,0,2481,530
200606,5340,23148,307,0,0,2469,398
200607,4089,15593,224,0,0,1686,199
200608,4619,17504,277,0,0,2086,181
200609,5438,19129,293,0,0,2061,321
200610,6176,18271,166,0,0,1819,364
200611,7046,17054,256,0,0,2465,348
200612,7000,15834,236,0,0,2337,265
200701,6965,13521,287,0,0,1891,201
200702,6615,13479,243,0,0,1965,169
200703,8418,19340,280,0,0,2361,200
200704,8269,19362,286,0,0,2464,152
200705,9492,20085,351,0,0,3429,169
200706,8877,17837,313,0,0,3155,248
200707,6979,13520,256,0,0,2508,136
200708,8630,14772,319,0,1,2229,112
200709,8803,14276,255,0,0,2756,96
200710,11332,15476,243,0,0,4183,81
200711,12240,12810,261,0,0,4251,119
200712,16944,9823,300,0,1,4321,81
200801,5292,8977,307,0,0,4677,90
200802,8221,9634,363,0,0,4595,85
200803,9180,11105,316,0,0,4317,62
200804,11334,13284,451,0,0,5032,97
200805,10458,12672,435,0,1,5477,86
200806,9024,10656,340,0,0,5948,75
200807,6673,8504,297,0,0,3680,49
200808,6923,8558,352,0,0,3940,79
200809,8407,9584,376,0,0,6080,187
200810,8275,8668,307,0,0,6431,185
200811,6504,6736,279,0,0,4565,192
200812,6874,6137,423,0,0,4282,206
200901,4852,4872,148,0,2,2378,119
200902,5911,6244,127,0,2,3069,155
200903,7125,7636,143,0,6,3997,318
200904,7527,7931,184,0,0,3854,487
200905,6748,7646,155,0,5,4663,543
200906,9030,9334,261,0,3,4861,652
200907,6340,6459,148,0,2,2341,623
200908,6583,6218,279,0,3,2915,725
200909,8603,7703,514,0,1,3220,752
200910,9984,8674,456,0,2,3052,643
200911,9021,8235,358,0,2,3063,506
200912,9459,6974,312,0,1,2752,617
201001,7270,5876,281,0,1,2359,565
201002,9329,6012,258,0,0,2633,670
201003,13018,10201,438,0,1,3053,620
201004,13255,10457,334,0,1,3094,630
201005,12561,10489,325,0,0,3297,603
201006,15028,11517,273,0,1,3513,707
201007,10887,8342,152,0,0,2050,574
201008,11695,9017,277,0,1,2451,633
201009,13998,9704,363,0,0,2961,547
201010,14729,8973,366,0,3,3098,556
201011,15027,8888,353,0,0,3330,485
201012,17485,8752,300,0,3,3626,438
201101,12281,6835,238,0,3,817,279
201102,13524,7128,250,0,29,973,310
201103,18311,10963,374,0,36,1387,571
201104,17958,10748,336,0,23,1539,528
201105,19373,11277,300,0,40,1709,767
201106,17940,9829,194,0,11,1602,471
201107,12922,7294,121,0,0,911,337
201108,15410,8674,257,0,3,1387,611
201109,17006,9039,245,0,3,1340,876
201110,16285,8222,177,0,7,1221,734
201111,17472,8424,256,0,15,1423,666
201112,16671,8019,179,0,15,974,499
201201,13223,5398,109,0,10,645,524
201202,14908,5918,119,0,14,608,453
201203,19715,9215,161,3,33,697,612
201204,16400,7832,110,19,37,551,442
201205,18266,8986,172,18,20,592,442
201206,17755,8816,261,28,16,517,373
201207,12338,6791,309,91,11,332,411
201208,14458,7371,262,114,14,361,404
201209,15885,6828,331,138,37,359,434
201210,16830,7416,434,102,18,416,587
201211,17432,8119,402,77,26,305,388
201212,18209,7875,372,68,28,521,413
201301,11067,5369,358,111,43,166,368
201302,11928,6046,342,232,26,163,406
201303,14794,8166,353,144,29,287,358
201304,16610,9079,365,52,24,151,361
201305,17216,10200,464,51,24,253,367
201306,15160,9101,362,69,26,278,293
201307,11590,8112,355,73,5,264,201
201308,13489,8954,553,54,26,414,317
201309,15331,9398,556,51,44,259,288
201310,15604,10143,549,67,80,350,308
201311,15328,9534,483,102,56,431,301
201312,17321,8749,430,103,69,227,347
201401,12357,6793,492,62,67,186,377
201402,13743,7707,462,138,59,203,339
201403,16948,10773,627,300,117,372,383
201404,17480,10844,495,390,65,283,360
201405,17617,10840,520,307,73,187,363
201406,18176,10836,627,500,91,218,395
201407,12924,8566,419,246,144,152,340
201408,14178,9482,609,270,286,250,530
201409,15359,10703,583,266,78,284,508
201410,16940,10712,702,456,86,171,527
201411,15748,9659,692,204,63,221,421
201412,16564,9610,826,272,137,164,513
201501,12547,7418,579,214,78,125,338
201502,14838,8482,626,203,101,113,484
201503,19333,11885,943,315,357,144,541
201504,18486,11643,504,355,286,168,605
201505,17953,11545,584,386,322,95,450
201506,19833,12434,914,479,328,112,314
201507,14472,10236,596,279,256,77,326
201508,15292,10800,611,308,260,123,427
201509,16795,12128,850,398,220,133,537
201510,18570,12057,775,504,202,105,462
201511,18781,11660,766,558,184,99,332
201512,19500,11288,1021,1753,322,76,333
201601,12599,8357,833,145,133,48,268
201602,15453,10426,1107,470,157,73,320
201603,18776,14243,1336,854,407,67,374
201604,19140,13471,1013,920,294,61,346
201605,18971,14962,1087,994,191,82,323
201606,20206,15179,967,1137,219,106,423
201607,12890,10818,810,859,107,24,142
201608,13721,12561,1221,787,153,102,266
201609,16291,13602,1613,1162,419,99,384
201610,17016,13443,1168,1023,212,35,301
201611,16472,13136,1128,1024,248,67,321
201612,19522,15122,1353,915,453,92,394
201701,12922,8368,1050,997,260,93,349
201702,15169,10385,1437,932,228,81,252
201703,19984,15657,2086,851,579,98,221
201704,16570,12540,1248,818,396,86,183
201705,18678,15112,1483,1172,400,95,211
201706,20206,16237,1574,1185,429,77,173
201707,12384,11138,1230,996,220,33,163
201708,14618,12450,1691,1561,413,165,475
201709,15340,12956,1554,1530,491,91,581
201710,15122,13524,1645,1937,382,122,494
201711,14226,14354,1628,2076,268,76,565
201712,15848,14834,2013,1934,293,73,362
201801,9788,10493,1417,1576,191,59,291
201802,12143,12305,1177,1548,324,84,234
201803,15538,17139,2183,1920,749,75,353
201804,13802,17310,1875,1789,377,69,379
201805,14988,19867,2179,1711,293,57,351
201806,29301,32231,2842,2381,337,130,331
201807,3155,6937,944,1909,533,30,290
201808,7737,12888,1697,1989,565,384,505
201809,6082,9524,1655,1725,667,27,206
201810,7753,11702,1836,1874,806,32,125
201811,8945,12432,1835,1792,1211,36,106
201812,8177,10980,1380,1597,1094,37,149
201901,8113,8835,1367,1577,1103,17,105
201902,8827,10830,1226,1900,902,8,96
201903,10770,13912,1783,2292,2107,12,203
201904,11981,13946,2144,1711,1377,7,285
201905,11673,15588,2614,1655,1255,15,450
201906,10813,15827,2418,1748,1692,6,615
201907,7959,12311,1934,1307,1083,4,353
201908,9274,14958,2460,1668,971,207,955
201909,7891,13196,2170,1874,1764,181,652
201910,9764,14070,2457,2696,848,126,532
201911,9692,14133,2435,3256,1062,182,366
201912,15982,24299,2444,3223,1631,402,384
202001,4087,6731,1141,4113,1269,5,444
202002,6084,8927,1657,4027,1430,7,357
202003,7284,11431,1710,4753,3015,7,335
202004,5223,8730,1341,3233,1049,5,250
202005,4445,7628,1263,2591,841,5,126
202006,7082,11255,1152,4696,1706,4,163
202007,5685,9769,1529,5414,1307,7,93
202008,5558,10416,2624,5301,2120,13,513
202009,5716,10792,2960,6233,3678,7,405
202010,5356,10467,2623,7849,2345,6,391
202011,4974,9457,2452,7590,2729,1,240
202012,6578,9036,2180,10334,6609,3,234
202101,4947,7718,1635,5898,1161,5,112
202102,4961,8799,1643,6598,1416,3,166
202103,10875,16807,3301,14963,2625,8,144
202104,3729,7758,1992,4578,4888,51,137
202105,4561,8971,2404,5558,3972,94,153
202106,6173,10343,2922,9146,8706,177,171
202107,3122,6588,1730,3808,2556,209,97
202108,3059,6340,1865,4561,4806,127,167
202109,3016,6415,1742,4778,7486,167,141
202110,2790,6077,1491,5634,4634,182,108
202111,3089,5789,1518,5979,5549,112,57
202112,3412,5865,1894,6699,10082,165,138
202201,2809,5104,1790,5378,5221,87,138
202202,3135,5368,2045,5509,5491,247,122
202203,3913,6737,2786,6826,9254,266,111
202204,3492,5968,2735,5154,5500,143,58
202205,4369,7786,2582,6146,6529,238,86
202206,3998,6490,2024,6159,8365,180,158
202207,2249,5672,1600,4259,4792,175,42
202208,2578,5975,2707,3668,5927,288,350
202209,2698,5016,2382,4387,7871,402,291
202210,2471,4523,2266,5381,8036,233,310
202211,2530,4238,2506,5660,10970,237,154
202212,2546,4370,2161,8248,18207,212,135
202301,1863,3602,1776,3465,4333,119,124
202302,2217,4256,1914,3864,6212,445,132
202303,2549,6452,3073,5542,12644,563,137
202304,2347,5148,1855,4561,6983,403,116
202305,2641,6324,2176,5991,11696,320,236
202306,2524,6895,2337,5806,11005,337,228
202307,1684,4246,1329,3896,6528,324,66
202308,2024,5480,2193,4575,9832,226,248
202309,2393,5820,2251,5351,12552,318,208
202310,2094,5488,2328,5762,9454,420,184
202311,1960,5024,2803,5321,10128,469,223
202312,2202,6042,2505,7101,11408,278,158
202401,1890,4078,2059,4095,5068,440,179
202402,1761,4868,2158,4500,5244,575,144
202403,1902,5862,2073,5556,8381,462,245
202404,1819,5483,2254,5744,6845,363,218
202405,2252,6984,2714,5842,7648,377,130
202406,2141,6930,2241,5252,9135,304,93
202407,1690,3970,1375,4244,5530,136,11
202408,1855,4822,2091,3881,6819,198,45
202409,1521,5825,1966,5223,11566,278,39
202410,1745,5735,2223,6811,8819,333,16
202411,1677,5896,2170,6328,9050,302,20
202412,1905,5996,2144,5798,10734,238,4
202501,1378,5185,1824,4513,5722,1682,4
202502,1525,4994,1620,5133,6928,6,3
202503,2023,6018,2127,6339,8435,10,7
202504,2169,5707,1885,6849,8606,11,5
202505,2079,5976,2209,6811,9526,4,2
202506,2180,6527,1773,7298,10845,9,5
202507,1644,4586,1288,4865,6224,5,5
202508,1824,4774,2260,5159,6790,5,2
202509,1620,5208,2002,7667,9658,5,3
202510,1910,5125,2184,7166,8772,33,4
