"YYYYMM","Diesel","Petrol","Hybrid","Battery electric","Others"
200003,3621,27703,0,0,-74831
200006,4247,28761,0,0,-70290
200009,3833,21046,0,0,-74694
200012,3602,20799,0,0,-66051
200103,3623,19038,0,0,-73890
200106,5233,23988,0,0,-74524
200109,4202,17484,0,0,-78191
200112,4093,18445,0,0,-71623
200203,5011,20385,0,0,-78293
200206,6351,26831,0,0,-81861
200209,5417,21367,0,0,-82823
200212,5923,20311,0,0,-72839
200303,5537,16011,0,0,-80603
200306,5445,20398,0,0,-86137
200309,5509,17696,0,0,-84440
200312,5784,20117,0,0,-75933
200403,6061,19660,0,0,-87746
200406,7572,25770,0,0,-86189
200409,7273,21684,0,0,-86603
200412,9148,25372,0,0,-76918
200503,7604,24649,0,0,-82786
200506,10099,32226,0,0,-91681
200509,9067,27362,0,0,-89316
200512,10117,27452,0,0,-80341
200603,9459,26885,0,0,-88796
200606,11705,34591,0,0,-88331
200609,10377,25545,0,0,-90418
200612,12116,26038,0,0,-78318
200703,10680,26257,0,0,-84329
200706,14283,27513,0,0,-83418
200709,17510,22730,0,0,-82304
200712,22445,21061,0,0,-67383
200803,18899,21085,0,0,-75694
200806,21695,24377,0,0,-77364
200809,16416,19924,0,0,-75366
200812,13430,14832,0,0,-65186
200903,10562,14464,0,0,-78885
200906,13520,16093,0,0,-84758
200909,11305,15430,0,0,-87665
200912,15620,15173,0,0,-70737
201003,15002,18175,0,0,-81972
201006,18814,21634,0,0,-83742
201009,15383,21565,0,0,-89002
201012,23460,19532,0,0,-65271
201103,16498,24046,0,119,0
201106,22715,24078,0,197,0
201109,19146,20126,0,51,0
201112,23202,19422,0,98,2
201203,16721,23874,0,115,1
201206,18306,24806,0,166,0
201209,16792,27083,0,128,0
201212,16127,25611,0,121,0
201303,12362,29312,0,98,5
201306,16149,33336,0,66,22
201309,12566,29871,0,156,1
201312,16358,30125,0,213,2
201403,12714,34716,2,294,8
201406,16800,33677,6,320,6
201409,13102,29681,47,297,17
201412,16928,29098,27,653,13
201503,14272,34194,30,553,5
201506,17277,37367,100,488,12
201509,14601,34475,69,897,11
201512,18053,31662,207,2363,17
201603,17634,34242,101,113,30
201606,23973,40386,105,132,6
201609,17745,33108,160,437,3
201612,20859,32635,206,583,11
201703,20917,38641,48,40,22
201706,23591,40197,53,90,2
201709,12457,32001,66,300,28
201712,20527,31768,454,261,10
201803,20303,35610,849,194,0
201806,21301,41478,803,330,3
201809,15543,32186,994,406,4
201812,15327,32044,480,614,6
201903,17268,46601,1220,987,2
201906,15012,39047,533,1582,5
201909,13546,35551,1012,1325,1
201912,14536,34664,1115,1607,6
202003,13218,31587,2016,2132,1
202006,9085,26689,2532,1573,1
202009,10710,33116,6346,3837,0
202012,12796,29282,7341,6676,43
202103,7482,26192,7507,2976,2
202106,8006,29821,10911,4417,1
202109,5093,21485,9604,7573,4
202112,4938,18178,12420,9906,68
202203,3892,19099,5538,5932,3
202206,4637,21873,7016,6217,0
202209,4056,17964,6399,7366,2
202212,4006,16508,7486,11278,1
202303,3306,20979,3889,11786,0
202306,4560,20622,5278,14250,1
202309,2984,18594,3651,14636,0
202312,4134,18399,4400,21907,0
202403,2551,17642,1735,15156,0
202406,3895,19949,2013,23732,0
202409,2792,13889,1488,21852,0
202412,2959,13657,1831,28308,0
202503,1631,10381,1083,24498,0
202506,2671,15498,1625,32620,15
202509,2876,9498,1121,31253,13
202512,985,3487,310,11402,0
