"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
2014,51660,73095,277,195,55
2015,51466,78416,482,274,44
2016,54277,87679,1421,277,57
2017,53121,90630,3351,660,197
2018,51544,99841,7468,988,349
2019,43093,100497,11843,2356,2328
2020,33780,77790,21507,5160,2085
2021,27043,69913,32079,13597,1221
2022,15783,54399,28846,23177,896
2023,10356,42469,32571,39603,764
2024,7335,39941,33710,35919,397
2025,7676,33952,22686,48486,183
2026,2822,13282,5583,23186,33
