"YYYYMM","Diesel","Petrol","LPG","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201801,11433,36442,1143,1900,44,77,0
201802,9691,30169,585,1600,60,30,0
201803,12452,36582,704,1800,52,79,0
201804,11268,30765,650,1900,81,52,0
201805,10589,29224,754,1700,54,33,0
201806,11661,31894,832,1600,55,48,0
201807,11432,32168,807,1800,32,46,0
201808,13438,40201,564,2400,63,35,0
201809,6910,18599,393,1300,43,67,0
201810,10536,26818,542,1900,46,66,0
201811,11807,28976,455,1900,58,52,0
201812,11892,30275,480,2600,52,91,0
201901,9691,33481,682,2000,33,40,0
201902,9278,32342,593,1400,78,73,0
201903,11277,36085,869,1500,88,299,0
201904,9369,33161,993,2400,80,376,0
201905,9372,33908,968,2700,72,74,0
201906,8560,32616,1035,2700,53,86,0
201907,9813,34885,1238,3000,54,75,0
201908,8948,34493,1112,3400,83,71,0
201909,7171,24127,652,3200,76,99,0
201910,9145,33108,168,4200,189,85,0
201911,8621,32806,123,3600,116,109,0
201912,10762,37012,161,4300,157,107,0
202001,7144,27788,11,4200,113,215,0
202002,6970,26262,165,4700,240,171,0
202003,5664,18862,508,4200,222,201,0
202004,3307,9052,239,2300,196,145,0
202005,3891,13641,329,2900,203,185,0
202006,6050,24700,654,3900,280,213,0
202007,7976,28001,1014,4800,331,304,0
202008,6768,21935,714,4700,296,294,0
202009,7553,22430,935,6400,384,445,0
202010,7332,23357,1279,7100,609,387,0
202011,8293,23588,1732,7100,543,419,0
202012,10044,29359,1808,8700,891,705,0
202101,5097,18970,968,6600,479,148,0
202102,5890,20953,962,9129,582,236,2
202103,6914,26183,1169,12114,915,552,2
202104,5524,21884,844,10570,897,428,2
202105,5571,22886,990,10567,886,442,46
202106,6036,22964,1372,12004,807,526,2
202107,4478,19934,2200,11138,757,341,1
202108,3627,17379,1133,9760,798,518,3
202109,3403,17498,853,9863,721,741,6
202110,3681,16501,857,8878,662,680,0
202111,3685,16234,1105,9149,855,922,0
202112,4006,17193,2097,10380,1021,1456,10
202201,2920,15376,1156,8257,732,512,22
202202,3515,17281,950,10443,745,589,15
202203,4081,19201,1541,12608,946,1151,0
202204,4254,16442,789,11844,758,795,0
202205,4365,16755,655,12457,885,780,0
202206,4714,18649,1178,13183,880,981,0
202207,4000,17600,888,10761,657,797,0
202208,3423,17671,946,10040,781,892,0
202209,4035,17387,920,11140,923,1414,0
202210,4192,15462,680,9839,849,979,0
202211,3846,16557,1115,10770,735,1173,0
202212,4036,16697,1177,12937,794,1230,1
202301,3200,15600,900,13444,689,1077,0
202302,3524,17457,984,14414,991,1105,50
202303,4860,22246,1252,17869,1320,1913,0
202304,3803,16231,1028,12030,1162,1230,1
202305,4215,17236,957,13620,1184,1362,1
202306,4751,17881,1151,14678,1287,1809,24
202307,3577,16089,946,13570,1053,1153,0
202308,3263,14804,805,15200,868,1237,0
202309,3848,15736,809,16492,917,1275,1
202310,3566,15527,1148,18156,1185,1329,2
202311,4295,16086,1190,17112,1120,1880,2
202312,4475,15896,1299,17453,1281,1711,2
202401,3134,16132,1382,19943,1084,1120,1
202402,3511,17030,1273,21488,1298,1373,0
202403,4618,17658,1766,22803,1377,1705,0
202404,4426,15442,1460,20611,1182,1264,1
202405,3803,15611,942,20932,1073,1291,2
202406,4966,18873,772,22242,1248,2119,1
202407,3747,17334,853,18964,1093,1147,1
202408,2983,14065,1087,17091,866,979,0
202409,3513,15989,1135,18298,1014,1506,6
202410,4309,19079,1416,20797,1350,1146,0
202411,4713,20385,2112,19578,1177,1181,3
202412,5389,18881,2350,25142,2184,1740,2
202501,3679,14496,968,22451,1531,1121,1
202502,3134,13422,1095,23581,1887,1675,0
202503,3956,16034,1727,26639,2391,2311,1
202504,3406,14447,1247,22761,2557,2552,3
202505,3638,14621,1490,21631,2382,2818,51
202506,3863,15674,1804,21693,2707,3779,65
202507,3758,16560,1423,22157,2554,3815,0
202508,2717,12608,1076,20498,2273,3306,0
