"YYYYMM","Diesel","Petrol","Non-Plugin Hybrid","Plugin Hybrid","Battery Electric","Other"
202203,825.186944,2090.074935,1884.207993,142.976857,147.006070,101.928144
202206,864,2709,1907,130,212,61
202209,889,2334,1537,86,170,91
202212,733,1837,1419,67,158,31
202303,699,2301,2265,131,245,17
202306,815,2779,2312,145,399,23
202309,611,1991,2183,147,384,7
202312,711,1775,2307,137,417,19
202403,828,1414,1940,182,317,35
202406,808,1538,2556,185,332,32
202409,870,1444,2595,357,333,61
202412,1915,2299,4445,544,338,18
202503,92,214,561,146,142,0
