"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
202009,38147,74994,10825,227,316,0
202012,91336,151008,18812,571,544,0
202103,83449,153332,16811,629,969,20
202106,103450,165578,20530,811,1248,7
202109,82677,134033,18959,919,1351,1
202112,77414,127552,14166,1013,1581,10
202203,89417,135508,20589,1039,6752,6
202206,96625,140478,20571,1893,2928,3
202209,88919,140253,18259,1643,12091,1
202212,86405,135317,22367,1362,11639,5
202303,83095,139588,16099,1461,17396,0
202306,92856,154692,25696,2071,22212,0
202309,94995,153262,31418,3211,22651,2
202312,59759,86735,28347,4997,12999,0
