"YYYYMM","Diesel","Petrol","LPG","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2018,133109,372113,7909,22400,640,676,0
2019,112007,398024,8594,34400,1079,1494,0
2020,80992,268975,9388,61000,4308,3684,0
2021,57912,238579,14550,120152,9380,6990,74
2022,47381,205078,11995,134279,9685,11293,38
2023,47377,200789,12469,184038,13057,17081,83
2024,49112,206479,16548,247889,14946,16571,17
2025,28151,117862,10830,181411,18282,21377,121
