"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
200506,38009,98765,232,0,6,574
200512,36105,86355,372,0,7,257
200606,41628,102428,460,0,4,684
200612,39229,83379,1110,0,5,821
200706,45209,97712,1441,1,7,1546
200712,47124,87343,1778,0,12,1799
200806,49625,100248,1648,6,13,1189
200812,43741,88903,1416,23,11,1148
200906,39465,92273,1703,9,15,828
200912,39290,89901,2172,16,42,764
201006,43508,103834,2060,12,103,600
201012,47039,96742,2157,21,98,423
201106,53181,106973,2662,58,255,658
201112,56143,104567,2680,62,197,519
201206,67000,112699,2999,97,447,536
201212,57911,87877,3487,125,477,390
201306,59091,95243,3445,191,463,456
201312,56565,89827,3205,317,929,422
201406,56440,91243,2995,350,940,350
201412,56864,89632,3090,458,1008,713
201506,62603,95569,3513,1086,1861,607
201512,65296,89900,2780,1406,2021,501
201606,63509,89879,3538,1401,1655,403
201612,62086,88787,4102,1546,1870,555
201706,60432,92154,4084,1403,2127,320
201712,53416,91483,4283,2076,2802,452
201806,48716,100659,4872,1987,2553,624
201812,41644,88188,6356,2217,2858,213
201906,43155,98366,8904,1513,6028,527
201912,36306,93753,13228,2696,7149,752
202006,24211,57918,12183,4428,5819,392
202012,27740,61069,20690,9865,13933,227
202106,19658,57184,27850,10460,12570,187
202112,12981,43584,26580,11343,19447,178
202206,13819,42521,28556,9428,18442,109
202212,12789,43710,29485,8384,22065,95
202306,12183,45209,35448,10613,23392,67
202312,11757,39996,35284,12481,29537,14
202406,12561,39816,40499,10909,21794,14
202412,10448,31663,42822,10232,24787,7
202506,8631,29955,43759,12049,24833,10
202512,5052,17450,26037,9262,16869,1
