"YYYYMM","Diesel","Petrol","LPG / LPG blend","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
200203,8920,25220,0,0,0,0,1
200206,11765,30255,0,0,0,0,0
200209,8273,23612,0,0,0,0,0
200212,11324,28384,0,0,0,0,0
200303,10848,23021,0,0,0,0,0
200306,13541,29411,0,0,0,0,0
200309,11739,24438,0,0,0,0,0
200312,11822,24726,0,0,0,0,0
200403,8294,22066,0,0,0,0,0
200406,10932,26482,0,0,0,0,0
200409,9857,21607,0,0,0,0,0
200412,11125,22610,0,0,0,0,0
200503,8349,18988,0,0,0,0,507
200506,9577,28970,0,0,0,0,719
200509,7778,20928,0,0,0,0,545
200512,9616,20815,0,0,0,0,584
200603,7708,19211,0,0,0,0,649
200606,9452,25879,0,0,0,0,884
200609,8037,19953,0,0,0,0,894
200612,9676,20823,0,0,0,0,821
200703,8619,20658,0,0,0,0,828
200706,10085,26299,0,0,0,0,1071
200709,8285,21997,0,0,0,0,867
200712,9770,23183,0,0,0,0,880
200803,8330,23610,0,0,0,0,1086
200806,9831,28272,0,0,0,0,2326
200809,8192,25174,0,0,0,0,2179
200812,8265,24630,0,0,0,0,1766
200903,6693,23365,0,0,0,0,1017
200906,15448,30984,1,0,0,0,1720
200909,12459,24612,8,0,0,4,1437
200912,16764,25924,10,0,0,1,1212
201003,15842,22448,15,0,0,0,1034
201006,19725,28620,11,0,0,2,1329
201009,13698,22008,17,0,0,0,1004
201012,18416,23866,26,0,0,4,1171
201103,16286,24739,8,0,0,15,978
201106,17683,27266,35,0,0,28,1246
201109,16479,21567,40,0,0,6,1109
201112,18062,26580,44,0,0,7,1104
201203,18703,23811,22,55,0,4,934
201206,19752,29462,116,94,0,17,1263
201209,15224,20453,151,96,0,23,879
201212,18333,23347,225,111,0,45,889
201303,15685,19939,114,103,0,7,605
201306,17708,25677,131,140,0,11,698
201309,16388,22077,185,103,0,2,581
201312,19965,23696,217,92,0,17,595
201403,18988,23043,314,85,0,23,540
201406,20887,28940,313,77,0,27,821
201409,18592,27378,337,85,0,45,975
201412,21661,27425,517,139,0,102,1000
201503,22094,29359,401,186,0,53,1172
201506,25268,32680,418,220,0,94,1316
201509,24580,31258,293,277,0,59,1282
201512,27356,30834,167,341,0,62,1087
201603,26147,31742,93,319,0,44,1253
201606,31308,39830,131,357,0,42,1512
201609,24375,33832,144,404,0,44,1137
201612,28745,36287,130,461,0,70,1286
201703,27614,38013,318,620,0,88,1406
201706,28971,44712,296,723,0,61,1629
201709,22286,36367,311,696,0,85,1315
201712,23770,39704,275,787,0,73,1475
201803,21664,43519,349,742,74,107,1418
201806,23849,48801,178,996,91,160,1836
201809,17074,43797,119,1335,66,129,1480
201812,15968,35042,170,1480,47,222,724
201903,16375,40659,200,1363,53,132,834
201906,17856,46790,90,2222,76,192,1656
201909,16577,42083,102,1922,125,183,1620
201912,17504,37421,14,2366,216,129,1155
202003,14533,31054,41,2106,464,741,1255
202006,11967,28717,168,2011,282,287,1404
202009,16143,31461,479,3016,430,376,1385
202012,16335,30509,592,3560,802,1462,1392
202103,13908,28653,344,3762,944,563,1360
202106,14911,38827,652,5114,1248,699,1820
202109,9554,30869,651,5051,786,563,1545
202112,9682,26164,612,5411,757,821,1605
202203,10791,26379,1021,6021,711,777,1691
202206,11292,29012,964,6691,918,1141,1507
202209,9151,26405,981,5513,807,951,1119
202212,10968,26473,1000,6444,1124,1023,1212
202303,12436,30897,923,8451,1280,1317,1037
202306,14407,31511,930,8363,1342,1675,979
202309,10810,28346,620,8500,1437,1636,667
202312,11244,27430,1029,9837,1594,2012,712
202403,11997,30652,1139,10898,1410,1308,201
202406,14663,29078,1129,12328,1531,2859,28
202409,12011,25098,923,10223,1457,3064,2
202412,11778,29136,1398,12083,1502,3702,2
202503,11319,28916,1446,12715,2175,3113,2
202506,10788,29798,1737,14019,2793,3797,21
202509,10063,28031,1494,14101,2835,3270,4
202512,10411,30947,1778,16285,3230,3626,5
202603,11636,26997,1129,14557,2783,3439,9
202606,12183,30044,1601,16503,3734,5191,2
