"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
201403,11922,18480,67,25,9
201406,10866,17649,65,50,10
201409,9044,14785,58,47,10
201412,9521,13486,73,61,8
201503,11331,17877,80,65,3
201506,9771,17775,128,59,1
201509,8431,17019,102,82,6
201512,9296,16644,104,37,8
201603,11327,21389,313,77,8
201606,10744,21320,258,35,7
201609,8423,18429,282,52,11
201612,8969,16930,355,59,12
201703,11154,21355,476,129,12
201706,9914,20720,537,143,11
201709,7860,18964,682,119,20
201712,7136,18364,858,111,22
201803,8491,24408,1309,175,34
201806,8255,25148,1568,177,47
201809,6236,20541,1076,189,80
201812,5954,15582,979,235,21
201903,6768,20457,1336,473,68
201906,5971,23064,1068,522,553
201909,4753,20429,1155,581,736
201912,4371,18391,2408,321,778
202003,4346,18631,3642,918,735
202006,3185,12745,2208,581,401
202009,3471,17129,3747,1182,487
202012,3131,14462,3635,1564,218
202103,3323,17104,5743,1503,307
202106,3221,16392,6236,2632,275
202109,2369,13076,4006,2288,189
202112,1719,10074,4159,3730,139
202203,1915,12213,4433,3041,130
202206,2063,12473,4267,2910,60
202209,1648,9961,3686,3915,208
202212,1420,8710,3785,4665,197
202303,1220,9229,3840,6587,95
202306,1596,10474,4993,8714,129
202309,1179,8046,4816,7516,148
202312,1062,6626,4438,6720,81
202403,1039,8390,4188,4770,67
202406,1230,10018,3629,5802,29
202409,833,7101,3332,5074,10
202412,710,7906,3714,6225,8
202503,737,6721,3610,5639,0
202506,858,8321,4286,7088,2
202509,750,6031,3395,6504,3
