"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2011,1603318,595398,13919,56,2637,12178
2012,1389931,494357,27823,667,5671,2223
2013,1207895,548706,47346,854,8901,2976
2014,1159014,610127,42854,2058,10741,2385
2015,1110732,763215,56937,5820,17540,1693
2016,1065952,910617,53153,7632,22220,595
2017,1013099,1034534,71351,12089,25425,1172
2018,856583,1224694,93521,14753,31723,2307
2019,761198,1322937,109385,18789,43627,2341
2020,513168,802718,173316,74961,112710,16657
2021,354949,700919,299476,141242,165627,46462
2022,241783,611179,342237,127436,207364,46951
2023,172885,672749,442100,162835,303895,62882
2024,125820,530224,599721,147094,295584,56724
2025,64684,306101,594714,82706,254104,46377
