"YYYYMM","ICE","Hybrid","Battery Electric"
202104,8408,219,6
202105,8860,218,61
202106,10340,423,17
202107,10426,241,5
202108,10014,399,13
202109,11548,507,80
202110,9743,425,19
202111,10727,643,48
202112,8903,563,80
202201,9190,400,15
202202,9860,441,12
202203,11686,444,27
202204,11377,596,31
202205,10472,800,39
202206,9437,677,6
202207,11070,571,20
202208,13006,607,39
202209,12669,609,46
202210,11338,556,43
202211,11851,540,48
202212,10511,433,50
202301,9747,656,46
202302,10415,729,40
202303,12621,995,63
202304,10691,777,43
202305,10304,869,85
202306,11097,954,40
202307,9789,951,54
202308,10260,899,75
202309,9477,1025,59
202310,9048,1210,106
202311,8775,1348,87
202312,7889,1094,70
202401,8164,1095,87
202402,7914,1104,92
202403,11814,1584,103
202404,7114,978,97
202405,7407,993,113
202406,7476,947,122
202407,7643,1043,120
202408,7959,1057,128
202409,6987,1015,97
202410,7020,1082,138
202411,6812,1114,146
202412,7452,1076,173
202501,6837,1223,180
202502,6816,1239,282
202503,7655,1233,167
202504,7802,1273,277
202505,8622,1455,262
202506,8084,1583,352
202507,9560,1675,372
202508,8486,1529,342
202509,8985,1830,484
202510,9745,1933,457
202511,9535,1697,578
