"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
201801,26576,64522,416,2220,597
201802,18793,44075,318,1604,595
201803,21332,54318,432,2548,568
201804,16981,47721,301,1650,485
201805,17647,52396,345,2129,529
201806,19301,63990,423,2993,468
201807,16604,53224,426,2089,555
201808,15397,56606,458,2824,483
201809,14112,43195,526,3740,320
201810,16334,44406,502,2872,402
201811,16309,46868,622,4117,414
201812,9727,29163,311,6801,345
201901,20274,59017,906,3401,511
201902,14557,44638,494,3077,372
201903,16046,54739,825,5568,414
201904,14094,49630,458,3618,402
201905,14884,55592,532,3865,469
201906,15998,57125,539,5820,463
201907,12971,53352,421,3831,437
201908,12121,51332,539,4371,415
201909,11202,48488,615,9156,306
201910,12259,51085,766,3651,390
201911,12254,51037,609,8524,461
201912,9364,35303,345,24533,310
202001,14843,60727,1702,3565,389
202002,11045,45942,1070,4490,366
202003,11262,43589,1294,5474,377
202004,6501,27853,675,3307,303
202005,6622,35524,769,3627,310
202006,8725,48482,1303,6044,455
202007,10436,59459,1922,7489,526
202008,9212,48066,1498,7398,624
202009,10142,49512,1850,9801,630
202010,10504,51899,2018,10105,644
202011,10078,47285,2304,10722,557
202012,7275,38591,1618,31736,723
202101,12214,51661,3635,3362,454
202102,10373,39457,2139,3821,471
202103,12576,48849,3242,5609,502
202104,11121,47501,3312,5955,496
202105,10470,48951,3348,7492,442
202106,11154,56440,3830,10359,587
202107,9874,51597,3540,8667,594
202108,7805,41347,3256,8918,404
202109,9131,42838,3749,9103,476
202110,10037,42278,3873,9105,566
202111,10052,39196,4165,10900,516
202112,8237,35942,3232,24168,543
202201,10257,45282,5165,7007,675
202202,9026,37600,4000,7077,381
202203,10182,40002,4670,11387,413
202204,8760,36805,4590,10708,343
202205,9188,37584,4446,11000,383
202206,10210,43111,4364,12970,645
202207,8076,36748,3704,10748,382
202208,7045,35443,3876,10695,331
202209,8439,35777,4702,10434,422
202210,8054,37811,4973,10110,471
202211,8904,36225,4734,10776,587
202212,8002,32822,4121,17157,455
202301,9872,42975,6209,8973,459
202302,9081,35180,6518,10801,373
202303,10656,41265,7920,17409,408
202304,7803,37586,6203,11819,346
202305,8753,38753,6853,15008,418
202306,11165,45086,8151,18819,588
202307,8112,37047,7194,11755,404
202308,8683,33208,6498,13264,394
202309,7992,34060,7204,15559,469
202310,8483,34256,7282,12467,456
202311,8741,32760,7144,13101,539
202312,7085,28759,6294,13881,547
202401,10247,38879,9244,12036,508
202402,9808,36445,8903,11324,496
202403,11552,42717,10300,16830,576
202404,10899,36670,9093,13049,489
202405,10960,36852,9335,13840,362
202406,11535,40290,10621,15475,508
202407,10957,36261,10283,12332,413
202408,9963,33679,9406,12665,383
202409,12471,33136,9354,15991,362
202410,15209,36298,11500,15055,425
202411,18526,34730,11624,17817,419
202412,38225,34852,9748,21741,782
