"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201006,259,1643,7,0,2,17
201012,395,641,15,0,0,17
201106,1115,1833,39,0,0,87
201112,924,679,28,0,0,64
201206,2328,2384,57,0,0,102
201212,1437,949,115,6,9,51
201306,2443,2218,112,12,4,32
201312,1021,874,60,3,37,16
201406,3152,3119,85,6,30,22
201412,1325,1144,75,19,46,15
201506,4061,4403,106,53,130,55
201512,2262,1738,123,89,110,128
201606,5300,5997,357,194,102,179
201612,2563,2039,288,338,111,149
201706,6174,6207,487,456,199,214
201712,2385,2582,469,822,177,81
201806,4767,5001,600,1137,284,107
201812,2053,2445,304,841,403,52
201906,2339,3271,552,663,425,30
201912,1000,1494,408,460,389,22
202006,815,984,548,753,1069,21
202012,892,941,519,954,1136,14
202106,933,1166,1255,1440,1240,2
202112,544,756,918,1678,2060,4
202206,1343,1247,1871,2457,2406,0
202212,916,661,984,1117,2860,0
202306,1683,1392,2169,1101,3921,2
202312,557,362,646,560,4188,1
202406,1462,1368,1519,1047,956,0
202412,231,121,388,377,741,1
