"YYYYMM","Diesel","Petrol","LPG / LPG blend","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
200206,20685,55475,0,0,0,0,1
200212,19597,51996,0,0,0,0,0
200306,24389,52432,0,0,0,0,0
200312,23561,49164,0,0,0,0,0
200406,19226,48548,0,0,0,0,0
200412,20982,44217,0,0,0,0,0
200506,17926,47958,0,0,0,0,1226
200512,17394,41743,0,0,0,0,1129
200606,17160,45090,0,0,0,0,1533
200612,17713,40776,0,0,0,0,1715
200706,18704,46957,0,0,0,0,1899
200712,18055,45180,0,0,0,0,1747
200806,18161,51882,0,0,0,0,3412
200812,16457,49804,0,0,0,0,3945
200906,22141,54349,1,0,0,0,2737
200912,29223,50536,18,0,0,5,2649
201006,35567,51068,26,0,0,2,2363
201012,32114,45874,43,0,0,4,2175
201106,33969,52005,43,0,0,43,2224
201112,34541,48147,84,0,0,13,2213
201206,38455,53273,138,149,0,21,2197
201212,33557,43800,376,207,0,68,1768
201306,33393,45616,245,243,0,18,1303
201312,36353,45773,402,195,0,19,1176
201406,39875,51983,627,162,0,50,1361
201412,40253,54803,854,224,0,147,1975
201506,47362,62039,819,406,0,147,2488
201512,51936,62092,460,618,0,121,2369
201606,57455,71572,224,676,0,86,2765
201612,53120,70119,274,865,0,114,2423
201706,56585,82725,614,1343,0,149,3035
201712,46056,76071,586,1483,0,158,2790
201806,45513,92320,527,1738,165,267,3254
201812,33042,78839,289,2815,113,351,2204
201906,34231,87449,290,3585,129,324,2490
201912,34081,79504,116,4288,341,312,2775
202006,26500,59771,209,4117,746,1028,2659
202012,32478,61970,1071,6576,1232,1838,2777
202106,28819,67480,996,8876,2192,1262,3180
202112,19236,57033,1263,10462,1543,1384,3150
202206,22083,55391,1985,12712,1629,1918,3198
202212,20119,52878,1981,11957,1931,1974,2331
202306,26843,62408,1853,16814,2622,2992,2016
202312,22054,55776,1649,18337,3031,3648,1379
202406,26660,59730,2268,23226,2941,4167,229
202412,23789,54234,2321,22306,2959,6766,4
202506,22107,58714,3183,26734,4968,6910,23
202512,20474,58978,3272,30386,6065,6896,9
202606,19255,45889,2059,24748,4971,6479,9
