"YYYYMM","Internal combustion","Non-plugin hybrid","Plugin hybrid","Battery electric"
2010,1115903,28592,326,19
2011,12492437,268749,7671,10092
2012,14004458,434648,38584,14587
2013,14988928,495535,49008,48094
2014,15952494,452172,55357,63525
2015,16970463,384400,43008,71064
2016,17040463,346949,72885,86731
2017,16675032,370680,91188,104487
2018,16544452,338149,123883,207062
2019,16233855,399444,85791,233822
2020,13709376,455067,69049,238540
2021,13512336,799046,176117,459474
2022,12056534,766412,183411,747982
2023,12868807,1175456,293578,1164638
2024,12688062,1609048,318724,1242584
2025,10513069,1637376,234336,1075436
