"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
201806,58498,284546,2232,8452,1972
201812,38277,231339,2843,16839,1437
201906,33451,274228,3752,17856,1422
201912,24574,251128,3201,45610,1091
202006,15703,213412,6802,15364,1153
202012,14533,237793,11192,61052,2566
202106,11708,241769,19476,18903,1794
202112,10373,213347,21788,52685,2132
202206,8723,196710,27192,38286,1955
202212,6049,181995,26097,50448,1821
202306,5492,203387,41837,65841,1666
202312,5316,172827,41588,61901,2002
202406,5224,194434,57486,66421,1812
202412,4798,176597,61437,79265,1419
202506,1474,58613,23412,23086,263
