"YYYYMM","Diesel","Petrol","LPG","Hybrid","Battery electric"
201903,55202,33557,4713,2111,0
201906,43786,24240,4126,3160,0
201909,49097,29003,5162,3429,0
201912,62942,53098,8550,4572,0
202003,64296,62362,10279,4417,0
202006,32852,35760,3102,2054,0
202009,77425,101335,9555,6101,0
202012,75062,97600,10323,9002,0
202103,58304,114082,10355,14495,0
202106,34402,90533,7776,13243,0
202109,27898,100558,9692,15766,0
202112,24036,75800,3818,11805,1474
202203,20895,88914,2985,11985,1342
202206,24984,98565,3482,13566,1240
202209,28313,100634,2286,9345,1977
202212,27616,108799,2416,13183,3753
202303,41886,136376,4040,17494,4870
202306,43331,155986,2700,20048,8087
202309,39528,167990,2803,25264,23753
202312,28930,165149,3558,25127,28848
202403,36020,184221,3348,35567,19735
202406,27358,147609,2189,29827,22927
202409,29606,139539,2486,43292,22871
202412,21280,145330,2561,60747,38317
202503,25835,131011,2457,74218,34484
202506,21279,104121,2353,64433,47650
202509,25506,126083,4076,72765,53356
