"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Ethanol","Others"
2006,61203,220002,2851,0,2,26118,3636
2007,113564,184301,3394,0,2,35513,1764
2008,97165,114515,4246,0,1,59024,1393
2009,91183,87926,3085,0,29,40165,6140
2010,154282,108228,3720,0,11,35465,7028
2011,195153,106452,2927,0,185,15283,6649
2012,195419,90565,3042,658,264,5904,5483
2013,175438,102851,5170,1109,452,3243,3915
2014,188034,116525,7054,3411,1266,2691,5056
2015,206400,131576,8769,5752,2916,1370,5149
2016,201057,155320,13636,10290,2993,856,3862
2017,191067,157555,18639,15989,4359,1090,4029
2018,137409,173808,21020,21811,7147,1020,3320
2019,122739,171905,25452,24907,15795,1167,4996
2020,68072,114639,22632,66134,28098,70,3551
2021,53734,97470,24137,78200,57881,1300,1591
2022,36788,67247,27584,66775,96163,2708,1955
2023,26498,64777,26540,61235,112775,4222,2060
2024,22158,66449,25468,63274,94839,4006,1144
2025,9174,27880,9665,29645,39217,1713,21
