"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2019,0.190000,0.070000,0.060000,"NaN",0.040000,0.010000,"NaN"
2020,-0.250000,0.300000,-0.010000,"NaN",0.040000,0.030000,"NaN"
2021,-0.570000,0.200000,-0.080000,"NaN",0.080000,0.020000,"NaN"
2022,-0.090000,0.270000,0.080000,"NaN",0.080000,0,"NaN"
2023,-0.140000,-0.060000,-0.050000,"NaN",0.160000,0,"NaN"
2024,0.360000,0.180000,0.120000,"NaN",0.010000,-0.010000,"NaN"
