"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,2.824570,,
1991,2.524085,,
1992,2.279593,,
1993,1.272992,,
1994,0.620482,,
1995,0.823214,,
1996,0.718116,,
1997,1.223854,,
1998,1.127333,,
1999,0.963603,,
2000,0.808790,,
2001,0.804471,,
2002,0.684558,,
2003,0.929058,,
2004,1.162039,,
2005,1.075003,,
2006,1.135285,,
2007,1.716905,,
2008,1.934726,,
2009,2.014821,,
2010,1.866551,,
2011,2.478520,,
2012,3.928461,,
2013,3.938451,,
2014,3.008403,,
2015,3.331267,,
2016,3.368237,,
2017,3.625311,,
2018,4.354582,,
2019,3.388399,,
2020,2.961466,,
2021,3.435276,,
2022,3.218356,,
2023,3.098238,,
