"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-7.558654,0.115524,,,-0.336271,
1991,-7.569382,0.102325,,,-0.336271,
1992,-7.580110,0.106625,,,-0.336271,
1993,-7.590838,0.115676,,,-0.336271,
1994,-7.601566,0.115613,,,-0.336271,
1995,-7.612294,0.109245,,,-0.336271,
1996,-7.623022,0.128798,,,-0.336271,
1997,-7.633750,0.138797,,,-0.336271,
1998,-7.644478,0.122463,,,-0.336271,
1999,-7.655206,0.118834,,,-0.336271,
2000,-7.665934,0.155259,,,-0.336271,
2001,-7.676662,0.125531,,,-0.336271,
2002,-7.687390,0.111740,,,-0.336271,
2003,-7.698118,0.108865,,,-0.336271,
2004,-7.708846,0.099525,,,-0.336271,
2005,-7.719574,0.081897,,,-0.336271,
2006,-7.730302,0.056033,,,-0.336271,
2007,-7.741030,0.099166,,,-0.336271,
2008,-7.751758,0.044555,,,-0.336271,
2009,-7.762486,0.082952,,,-0.336271,
2010,-7.773214,0.075422,,,-0.336271,
2011,-7.783942,0.114994,,,-0.336271,
2012,-7.794670,0.088615,,,-0.336271,
2013,-7.805398,0.078268,,,-0.336271,
2014,-7.816126,0.082558,,,-0.336271,
2015,-7.826854,0.059758,,,-0.336271,
2016,-7.837582,0.109604,,,-0.336271,
2017,-7.848310,0.045071,,,-0.336271,
2018,-7.859038,0.034012,,,-0.336271,
2019,-7.869766,0.017378,,,-0.336271,
2020,-7.880494,0.015311,,,-0.336270,
2021,-7.891222,0.027405,,,-0.336271,
2022,-7.901950,0.050115,,,-0.336271,
2023,-7.912678,0.041265,,,-0.336271,
