"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-7.443130,,,-0.336271,
1991,-7.467057,,,-0.336271,
1992,-7.473485,,,-0.336271,
1993,-7.475163,,,-0.336271,
1994,-7.485953,,,-0.336271,
1995,-7.503050,,,-0.336271,
1996,-7.494224,,,-0.336271,
1997,-7.494953,,,-0.336271,
1998,-7.522015,,,-0.336271,
1999,-7.536372,,,-0.336271,
2000,-7.510676,,,-0.336271,
2001,-7.551131,,,-0.336271,
2002,-7.575650,,,-0.336271,
2003,-7.589253,,,-0.336271,
2004,-7.609321,,,-0.336271,
2005,-7.637677,,,-0.336271,
2006,-7.674269,,,-0.336271,
2007,-7.641864,,,-0.336271,
2008,-7.707204,,,-0.336271,
2009,-7.679534,,,-0.336271,
2010,-7.697792,,,-0.336271,
2011,-7.668948,,,-0.336271,
2012,-7.706055,,,-0.336271,
2013,-7.727130,,,-0.336271,
2014,-7.733568,,,-0.336271,
2015,-7.767097,,,-0.336271,
2016,-7.727979,,,-0.336271,
2017,-7.803240,,,-0.336271,
2018,-7.825026,,,-0.336271,
2019,-7.852388,,,-0.336271,
2020,-7.865183,,,-0.336270,
2021,-7.863817,,,-0.336271,
2022,-7.851835,,,-0.336271,
2023,-7.871414,,,-0.336271,
