"Year","Commercial/institutional: Stationary combustion","Residential: Stationary combustion","All others"
1990,0,0.124051,0.008736
1991,0,0.105321,0.007024
1992,0,0.086591,0.005311
1993,0,0.067861,0.003599
1994,0,0.049131,0.003599
1995,0,0.030401,0.000175
1996,0,0.029004,0.000140
1997,0,0.027606,0.000105
1998,0,0.031974,0.000114
1999,0,0.036342,0.000122
2000,0,0.036866,0.000102
2001,0,0.037390,0.000257
2002,0,0.030109,0.000063
2003,0,0.022828,0.000043
2004,0,0.015549,0.000023
2005,0.001635,0.008266,0.000003
2006,0.001760,0.001760,0.000047
2007,0.006125,0.005173,0.000091
2008,0.005210,0.011208,0.000594
2009,0.006862,0.017841,0.000398
2010,0.005941,0.019479,0.317292
2011,0.004388,0.010195,0.000009
2012,0.006249,0.010587,0.000386
2013,0.003162,0.027732,0.000246
2014,0.004168,0.022931,0.000016
2015,0.005194,0.010935,0.001351
2016,0.004212,0.004723,0.000256
2017,0.004564,0.008377,0.000176
2018,0.003404,0.006145,0.000152
2019,0.051032,0.005117,0.000070
2020,0.001398,0.002446,0.000730
2021,0.001751,0.001794,0.000105
2022,0.001722,0.002197,0.000016
2023,0.001485,0.005294,0.000006
