"Year","CRF Production","FAO Production","CRF Import","FAO Import","CRF Export","FAO Export"
1960,1.034000,,0.058601,,0.597143,
1961,1.100750,0.758000,0.078848,0.028300,0.594286,0.451500
1962,1.167500,0.800000,0.087907,0.032500,0.601429,0.459700
1963,1.234250,0.850000,0.112708,0.038800,0.601429,0.459500
1964,1.301000,0.929000,0.134976,0.053000,0.627143,0.481500
1965,1.367750,0.974900,0.149138,0.076500,0.562857,0.442600
1966,1.414150,1.236700,0.128418,0.081500,0.518571,0.565700
1967,1.460550,1.258000,0.165030,0.085000,0.570000,0.635600
1968,1.506950,1.361000,0.183147,0.105200,0.577143,0.648900
1969,1.553350,1.418000,0.140592,0.122200,0.603927,0.655400
1970,1.599750,1.455000,0.144427,0.121700,0.614370,0.667600
1971,1.664600,1.517000,0.130692,0.104200,0.651509,0.685300
1972,1.729450,1.747000,0.159996,0.132700,0.744586,0.767400
1973,1.794300,1.952000,0.185629,0.156100,0.875849,0.893200
1974,1.859150,2.055000,0.169646,0.133800,0.786878,0.825600
1975,1.924000,1.816000,0.154295,0.121500,0.696396,0.712800
1976,1.935600,2.002000,0.185519,0.145400,0.844999,0.860800
1977,1.947200,2.011000,0.160629,0.123900,0.858756,0.910200
1978,1.958800,2.046000,0.167764,0.126200,0.908963,0.964300
1979,1.970400,2.018000,0.210697,0.162600,0.902184,0.931000
1980,1.982000,1.890000,0.213792,0.150300,0.733326,0.585700
1981,1.870100,1.659000,0.185835,0.104200,0.812375,0.602600
1982,1.758200,1.456000,0.201160,0.126600,0.628315,0.589400
1983,1.646300,1.488000,0.220081,0.133000,0.681692,0.617600
1984,1.534400,1.453000,0.288134,0.180600,0.670840,0.609900
1985,1.422500,1.367000,0.307088,0.206100,0.623168,0.563600
1986,1.392400,1.283000,0.302673,0.299500,0.526753,0.476200
1987,1.362300,1.333000,0.373581,0.411800,0.511169,0.453200
1988,1.332200,1.305000,0.422313,0.354800,0.452590,0.394400
1989,1.302100,1.293000,0.472199,0.398800,0.433706,0.370700
1990,1.272000,1.237000,0.534896,0.538000,0.372940,0.310800
1991,1.120750,1.095000,0.466879,0.395000,0.334894,0.266000
1992,0.816250,0.799000,0.423752,0.323000,0.282394,0.212852
1993,0.908000,0.804000,0.421330,0.346000,0.328501,0.241947
1994,0.893250,0.820000,0.515615,0.413000,0.408496,0.294000
1995,0.980750,0.966000,0.534490,0.532100,0.365100,0.353100
1996,0.938250,0.918000,0.553366,0.490800,0.313756,0.411000
1997,0.938500,0.917000,0.572241,0.543000,0.330245,0.403000
1998,0.999250,0.972000,0.591116,0.561200,0.470737,0.564000
1999,0.974750,0.944000,0.609992,0.587000,0.424513,0.473000
2000,0.933000,0.995000,0.628867,0.634000,0.342880,0.250000
2001,0.784000,0.864000,0.678957,0.661750,0.319521,0.213000
2002,0.840000,0.840000,0.599839,0.647510,0.351867,0.224000
2003,0.695000,0.695000,0.715199,0.708420,0.279111,0.142000
2004,0.642000,0.662000,0.885024,0.924048,0.252226,0.138000
2005,0.730000,0.732500,0.887963,0.935934,0.275271,0.139000
2006,0.796000,0.781500,0.983229,1.067575,0.277433,0.241616
2007,0.852000,0.821870,1.080514,1.201000,0.268969,0.292920
2008,0.845000,0.809438,0.927764,1.086551,0.247507,0.308772
2009,0.780000,0.761912,0.810986,0.851434,0.206711,0.240267
2010,0.702000,0.669418,1.023577,1.083078,0.196030,0.202014
2011,0.648000,0.690525,1.049983,1.199221,0.181407,0.194388
2012,0.654000,0.626500,1.010291,1.069886,0.185357,0.190753
2013,0.624000,0.658000,0.937000,0.937154,0.187000,0.177890
2014,0.577000,0.576000,1.055000,1.043280,0.212000,0.191530
2015,0.641000,0.660000,1.044000,1.031609,0.160000,0.142468
2016,0.628800,0.610000,1.085000,1.075125,0.181000,0.163373
2017,0.624960,0.635000,1.148000,1.148002,0.182000,0.182278
2018,0.673000,0.635000,1.213000,1.198174,0.223000,0.179753
2019,0.663000,0.663000,1.166000,1.152795,0.198000,0.153931
2020,0.651400,0.651400,1.273000,1.203784,0.247000,0.195680
2021,0.725000,0.726000,1.242000,1.255925,0.279000,0.261414
2022,0.708000,0.726000,1.206000,1.233244,0.307000,0.231262
2023,0.708000,0.708000,0.947000,0.936765,0.320000,0.286308
