"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1990,-60.708741,4.209934,-0.359479,0.082339,2.218952,0.223439,-5.006613,0
1991,-59.713829,3.799241,-0.697615,0.083076,2.488469,0.000091,-4.309752,0
1992,-58.932113,4.195435,-0.524093,0.093890,1.362789,0.033235,-3.671848,0
1993,-55.311304,4.161656,-0.587226,0.096794,3.351087,0.000176,-5.318445,0
1994,-55.122661,4.893658,-0.757507,0.109446,1.482097,0.000176,-5.762009,0
1995,-54.840317,4.286729,-0.749651,0.123032,2.223345,0.000176,-6.319650,0
1996,-56.845380,4.147816,-0.862212,0.119772,1.799378,0.000176,-5.773816,0
1997,-56.749051,4.145241,-0.508153,0.141909,1.844131,0.000176,-7.643808,0
1998,-58.088073,4.819692,-0.842537,0.134334,1.845769,0.000176,-7.266384,0
1999,-57.620484,4.213397,-0.812442,0.178428,1.498338,0.000176,-7.156648,0
2000,-58.824369,4.544213,-0.792291,0.190895,2.043738,0.000176,-8.158557,0
2001,-60.127695,4.225004,-0.770082,0.198559,1.382334,-0.001138,-6.822369,0
2002,-59.434713,4.644858,-0.527790,0.216524,1.009830,-0.001105,-7.479652,0
2003,-57.412295,4.269034,-0.786774,0.229181,1.984592,-0.001105,-8.158645,0
2004,-53.650618,4.165340,-0.732294,0.239677,2.171081,-0.001105,-8.773765,0
2005,-51.637511,3.721051,-0.741062,0.277531,0.754482,-0.001105,-10.611234,0
2006,-55.415042,3.270398,-0.480756,0.274628,1.153673,-0.001105,-11.633989,0
2007,-56.546995,3.097532,-0.273658,0.329904,1.521427,-0.002464,-11.854297,0
2008,-56.254198,3.102270,-0.554820,0.329413,1.577744,-0.002464,-9.864914,0
2009,-58.561304,2.955459,-0.415796,0.326759,2.107686,0.055874,-7.562757,0
2010,-59.704373,3.328273,-0.029785,0.333574,2.006088,0.001531,-7.736359,0
2011,-58.592775,3.427360,-0.466186,0.348547,1.617243,0.000610,-7.264158,0
2012,-57.606258,4.076417,-0.703285,0.355899,1.823897,0.000222,-7.071662,0
2013,-57.543492,3.459851,-0.584759,0.391206,1.702268,-0.000044,-6.442491,0
2014,-55.099443,3.253026,-1.009036,0.418541,2.358283,-0.000051,-7.702684,0
2015,-53.652505,3.339924,-0.664448,0.433029,2.848219,-0.009293,-7.611567,0
2016,-49.302139,3.581912,-0.799504,0.454938,2.065057,-0.009281,-8.432626,0
2017,-44.174757,3.689744,-0.887746,0.450689,1.462189,-0.009265,-6.902918,0
2018,-39.497920,3.698760,0.236358,0.497585,1.501093,-0.009264,-6.207428,0
2019,-37.299266,2.284183,0.346681,0.463622,1.533781,-0.009890,-7.086508,0
2020,-35.627820,2.783397,-0.879700,0.481229,2.423622,-0.005966,-8.526067,0
2021,-31.474999,2.797477,-0.857835,0.474708,0.764768,-0.002345,-8.368232,0
2022,-30.931461,3.925732,-0.729738,0.567469,1.208053,-0.002043,-7.652040,0
2023,-31.581373,4.247351,0.134177,0.577400,0.380802,0.004916,-4.986850,0
