"Year","CRF Production","FAO Production","CRF Import","FAO Import","CRF Export","FAO Export"
1960,2.238000,,0.024027,,1.281000,
1961,2.721400,2.292000,0.024782,0.024200,1.387000,1.388500
1962,2.472800,2.405000,0.027020,0.026400,1.460000,1.460100
1963,2.657200,2.712000,0.033389,0.032700,1.665000,1.665100
1964,3.075600,2.916000,0.039146,0.038100,1.888000,1.887700
1965,3.121000,3.121000,0.047209,0.045700,1.899000,1.898700
1966,3.368600,3.182000,0.052130,0.051000,2.036000,2.035800
1967,3.616200,3.296000,0.066689,0.065200,2.032000,2.031800
1968,3.863800,3.635000,0.087150,0.085800,2.380000,2.379900
1969,4.111400,4.113000,0.068569,0.105300,2.730000,2.729900
1970,4.359000,4.359000,0.078871,0.119500,2.940000,2.939500
1971,4.375400,4.306000,0.088373,0.122600,2.947000,2.947100
1972,4.391800,4.563000,0.094702,0.126600,3.228000,3.228000
1973,4.408200,5.204000,0.099923,0.146600,3.731000,3.730900
1974,4.424600,5.505000,0.112696,0.166800,3.989000,3.989000
1975,4.441000,4.473000,0.081140,0.133300,2.903000,2.904200
1976,4.860000,5.005000,0.108115,0.167400,3.398000,3.397100
1977,5.279000,5.060000,0.088297,0.147000,3.762000,3.758200
1978,5.698000,5.702000,0.087647,0.147300,4.371000,4.369600
1979,6.281000,6.541000,0.099628,0.166500,4.793000,4.792600
1980,6.182000,6.182000,0.112791,0.181400,4.626000,4.625600
1981,6.131000,6.131000,0.119372,0.181800,4.724000,4.721000
1982,5.928000,5.919000,0.127024,0.187200,4.493000,4.490600
1983,6.350000,6.349000,0.160534,0.216500,4.775000,4.415800
1984,6.869000,6.870000,0.164614,0.223300,5.168000,5.159800
1985,7.002000,7.001000,0.161046,0.226100,5.309000,5.302300
1986,7.354000,7.364000,0.168939,0.244100,5.622000,5.325100
1987,7.812000,7.812000,0.184034,0.260000,6.104000,6.103600
1988,8.172000,8.161000,0.215990,0.269600,6.384000,6.381800
1989,8.362000,8.363000,0.218577,0.273300,6.445000,6.502900
1990,8.426000,8.419000,0.257659,0.338000,6.479000,6.613000
1991,8.342000,8.349000,0.251138,0.301000,6.431000,6.431000
1992,8.374000,8.378000,0.271905,0.375399,6.622000,6.645755
1993,8.779000,8.781000,0.287965,0.333251,7.026400,7.026393
1994,9.284000,9.284000,0.391406,0.441000,7.797200,7.793300
1995,9.159000,9.159000,0.690224,0.412700,7.528000,7.528400
1996,9.018000,9.018000,0.523849,0.444000,7.484000,7.485000
1997,9.756000,9.756000,0.558267,0.487000,8.210000,8.210000
1998,9.879000,9.879000,0.549298,0.522800,8.514000,8.513400
1999,10.071000,10.071000,0.719872,0.605000,8.809000,8.809000
2000,10.786000,10.786000,0.697834,0.754000,9.036000,9.031446
2001,10.534266,10.534000,0.710180,0.593000,8.751000,8.419860
2002,10.724000,10.724000,0.750979,0.596350,9.183000,8.479489
2003,11.059000,11.061600,0.761301,0.638298,9.728000,9.080480
2004,11.589000,11.589000,0.802421,0.627959,10.414000,10.211125
2005,11.775000,11.775000,0.809481,0.852997,10.623000,10.535969
2006,12.066000,12.066000,0.793937,1.007959,10.932000,10.848884
2007,11.809000,11.511100,0.777279,1.056000,10.735000,10.649000
2008,11.676000,11.663000,0.841375,0.985066,10.621000,10.579858
2009,10.933000,10.932000,0.894693,0.866358,9.907000,9.866770
2010,11.410000,11.410000,1.072965,0.912267,10.496000,9.765766
2011,11.299000,11.298000,0.922000,0.852947,10.606000,10.451368
2012,11.417000,11.417000,0.942000,0.872821,10.516000,9.961805
2013,10.782000,10.792000,0.881000,0.878424,10.183000,10.132365
2014,10.419000,10.419000,0.896000,0.831170,9.895000,9.584130
2015,10.164000,10.255000,0.842000,0.801617,9.850000,9.809064
2016,11.100000,10.101999,0.874000,0.851536,9.560000,9.560217
2017,10.261000,10.261010,0.918000,0.918340,9.958000,9.321482
2018,10.139000,10.140999,0.847000,0.846593,9.561000,9.560779
2019,9.616000,9.616000,0.861267,0.861267,9.218665,9.218665
2020,9.279000,9.280000,0.773000,0.772604,9.054000,9.054055
2021,8.924000,8.924000,0.897000,0.895800,9.117000,9.115824
2022,8.531000,8.531000,0.895000,0.893960,8.591000,8.591389
2023,7.492000,7.492000,0.675000,0.674888,7.686000,7.686317
