"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,52.193506,10.199885,10.785518,20.272689,10.935415,,,
1991,52.769481,11.086599,10.669941,20.356831,10.656110,,,
1992,52.968090,11.710488,9.833470,21.353542,10.070590,,,
1993,52.847644,11.895106,10.542757,20.357665,10.052116,,,
1994,54.858732,12.315728,11.568323,20.870311,10.104370,,,
1995,54.055785,11.599334,11.946324,20.877109,9.633018,,,
1996,58.147632,16.044509,11.867854,20.584436,9.650832,,,
1997,53.203368,11.404633,12.303477,20.617146,8.878112,,,
1998,53.574903,12.441002,11.697946,20.631175,8.804780,,,
1999,50.832467,10.746656,10.922530,20.900382,8.262899,,,
2000,49.272349,9.261146,11.233261,20.712020,8.065921,,,
2001,50.059694,10.776128,11.305405,20.728803,7.249357,,,
2002,50.728709,11.692304,11.016078,21.231840,6.788487,,,
2003,51.691722,12.866341,10.881730,21.436406,6.507245,,,
2004,50.453069,11.920417,10.518208,21.780485,6.233959,,,
2005,47.976684,11.013291,9.881443,21.987088,5.094863,,,
2006,47.884395,11.518821,9.953033,21.951459,4.461081,,,
2007,46.986958,11.023502,9.525713,22.225675,4.212069,,,
2008,45.105128,10.944544,8.904015,21.646132,3.610436,,,
2009,43.203320,11.327801,7.283281,21.240665,3.351574,,,
2010,47.252786,13.797825,8.519749,21.352537,3.582675,,,
2011,43.496666,11.444627,7.877605,20.980796,3.193639,,,
2012,41.158589,11.048297,7.316410,19.797817,2.996065,,,
2013,39.568844,10.463873,6.934518,19.351657,2.818797,,,
2014,37.989740,9.632073,6.759103,18.932248,2.666316,,,
2015,37.942239,9.443794,6.885332,19.038744,2.574368,,,
2016,37.413620,10.001097,6.655515,18.350794,2.406214,,,
2017,36.703225,9.867961,6.544910,17.963224,2.327131,,,
2018,36.477625,10.352777,6.663819,17.301069,2.159960,,,
2019,34.705284,8.655215,6.661250,17.197785,2.191033,,,
2020,31.911368,7.964813,6.009415,15.800070,2.137070,,,
2021,33.173639,9.046440,6.136518,15.817901,2.172780,,,
2022,24.649305,2.583896,5.848080,14.278125,1.939204,,,
2023,30.239474,8.422971,5.744902,14.225994,1.845607,,,
2024,33.593471,8.216278,5.940201,17.223744,2.213247,,,
