"YYYYMM","Coal (MtCO2)","Oil (MtCO2)","Gas (MtCO2)","Cement (MtCO2)"
202110,0.643716,2.413229,0.143661,
202111,0.611778,2.297821,0.155146,
202112,0.646038,2.372982,0.166442,
202201,0.523250,1.938638,0.228066,
202202,0.621926,1.970733,0.175841,
202203,0.628635,2.304718,0.124878,
202204,0.631949,1.911602,0.116783,
202205,0.552299,2.087844,0.105445,
202206,0.545284,2.036404,0.067621,
202207,0.753381,2.086274,0.113040,
202208,0.470906,2.437563,0.116091,
202209,0.478945,2.378050,0.092510,
202210,0.637834,2.060887,0.118654,
202211,0.523905,2.309423,0.115342,
202212,0.546080,2.475090,0.175728,
202301,0.606011,1.945976,0.136415,
202302,0.574795,1.904537,0.118370,
202303,0.584547,2.276592,0.150476,
202304,0.583388,2.098940,0.085330,
202305,0.573220,2.456483,0.093774,
202306,0.620668,2.209980,0.093150,
202307,0.588141,2.084770,0.085729,
202308,0.536990,2.302387,0.090861,
202309,0.482150,2.023603,0.114533,
202310,0.523936,2.034707,0.112888,
202311,0.572618,2.028312,0.145421,
202312,0.543548,1.999163,0.161078,
202401,0.647055,2.340980,0.222099,
202402,0.607924,2.093115,0.157484,
202403,0.625484,2.335838,0.125316,
202404,0.601010,2.341829,0.141170,
202405,0.598340,2.505942,0.105235,
202406,0.510527,2.179582,0.090621,
202407,0.562665,2.376829,0.091424,
202408,0.395464,2.488467,0.108460,
202409,0.483385,2.262303,0.105005,
202410,0.520233,2.167784,0.086769,
202411,0.587200,2.233773,0.140773,
202412,0.608046,2.067989,0.128784,
202501,0.661637,2.192252,0.142733,
202502,,2.050606,0.141865,
202503,,,0.095532,
202504,,,,
202505,,,,
202506,,,,
202507,,,,
202508,,,,
202509,,,,
202510,,,,
202511,,,,
202512,,,,
