"Year","CRF Production","FAO Production","CRF Import","FAO Import","CRF Export","FAO Export"
1960,8.202000,,0.257700,,5.097400,
1961,8.197000,8.339000,0.252800,0.252800,4.555400,4.610400
1962,8.309000,8.159000,0.201100,0.201100,4.610800,4.655600
1963,8.558000,8.460000,0.234100,0.234200,4.878100,4.878100
1964,9.376000,9.665000,0.222500,0.222600,5.622300,5.622000
1965,10.058000,10.320000,0.244800,0.244900,5.297600,5.297400
1966,9.768000,10.013000,0.183800,0.183800,5.012000,5.011900
1967,9.977000,10.246000,0.156300,0.156600,5.557900,5.557800
1968,10.556000,10.853000,0.185600,0.185500,6.395700,6.395800
1969,11.165000,11.444000,0.193000,0.193000,6.790400,6.816500
1970,12.126000,12.269000,0.184800,0.184700,6.904600,6.904500
1971,12.524000,12.766000,0.148900,0.148800,7.459000,7.486700
1972,12.848000,12.868000,0.143100,0.143000,8.424600,8.450400
1973,13.793000,13.744000,0.201000,0.200900,9.380000,9.407900
1974,14.008000,13.624000,0.189000,0.189000,7.414500,7.416600
1975,10.664000,10.933000,0.140700,0.140800,5.313300,5.313400
1976,11.021000,11.325000,0.254500,0.254500,6.679400,6.679300
1977,10.637000,11.180000,0.241100,0.241200,6.149000,6.141500
1978,10.885000,10.906000,0.241600,0.241400,6.884000,6.870200
1979,11.028000,11.223000,0.336900,0.336400,7.004000,7.000900
1980,10.983000,11.299000,0.334200,0.333900,5.915000,5.914500
1981,10.136000,10.502000,0.209800,0.197600,5.643000,5.638500
1982,10.661000,11.213000,0.133400,0.118200,7.546000,7.498600
1983,11.923000,11.762000,0.133800,0.133300,8.493000,8.487600
1984,12.120000,12.382000,0.161200,0.172000,8.052000,8.049600
1985,11.273000,11.531000,0.169500,0.168900,7.902000,7.897900
1986,11.476000,11.641000,0.187700,0.186600,7.769000,7.766700
1987,11.007000,11.524000,0.186100,0.186100,7.500000,7.499100
1988,11.031000,11.267000,0.264600,0.264800,6.819000,6.819200
1989,11.251000,11.487000,0.284900,0.285000,7.041000,7.037000
1990,11.990000,12.018000,0.242700,0.259100,6.516000,6.251900
1991,11.499000,11.463000,0.189600,0.184000,6.946400,6.945000
1992,12.101000,12.128000,0.166895,0.158000,8.286149,8.258000
1993,12.984000,12.738000,0.176919,0.174000,10.102900,10.067000
1994,14.329000,13.816000,0.252000,0.248000,10.623400,10.466000
1995,15.305000,14.944000,0.263000,0.294000,10.336000,10.339000
1996,14.933000,14.370000,0.214000,0.214000,10.997000,11.649000
1997,16.241000,15.669000,0.211641,0.211000,10.921054,10.922000
1998,16.099000,15.124000,0.257000,0.257400,10.996131,10.996100
1999,16.066000,14.858000,0.237556,0.278000,11.092000,11.082000
2000,16.470000,16.176000,0.249000,0.348091,11.223000,11.048000
2001,15.988000,15.988000,0.309000,0.299000,10.990000,10.993110
2002,16.241000,16.172000,0.414798,0.375702,11.294000,11.286699
2003,16.804000,16.800000,0.381000,0.381000,11.022000,11.011475
2004,16.938000,16.900000,0.335000,0.336251,11.267146,11.258842
2005,17.765000,17.600000,0.347966,0.348000,11.900967,11.898000
2006,18.309000,18.300000,0.383781,0.383781,13.217000,13.217000
2007,18.738000,18.738000,0.408800,0.409000,11.348567,11.347000
2008,17.600000,17.601000,0.380602,0.380602,12.005967,12.005967
2009,16.221000,16.221000,0.356000,0.356522,12.270676,12.271000
2010,16.757000,16.757000,0.423000,0.422255,11.371077,11.371082
2011,16.600000,16.492000,0.400336,0.400957,11.536485,11.679625
2012,16.103000,16.286000,0.450000,0.402912,11.842000,11.861850
2013,15.964000,16.214000,0.455000,0.424219,11.620000,11.511042
2014,17.500000,17.500000,0.437000,0.436700,12.140000,12.140740
2015,18.100000,18.174000,0.438000,0.438084,12.832000,12.832332
2016,18.200000,18.357000,0.472000,0.471966,13.015000,13.015301
2017,18.100000,18.406000,0.532000,0.542958,13.152000,13.008295
2018,18.426000,18.373000,0.509506,0.509530,12.323169,12.323169
2019,18.730000,18.700000,0.539370,0.535732,12.633499,12.632485
2020,18.500000,18.500000,0.647622,0.647494,14.012849,14.037250
2021,19.030000,19.100000,0.565000,0.564609,12.599000,12.638824
2022,18.970000,19,0.667000,0.670777,13.690000,13.741121
2023,17.900000,17.900000,0.638000,0.638316,13.968000,14.016052
