"Year","Sweden","World"
1950,16.807806,2.378734
1951,15.055145,2.515504
1952,18.588386,2.502896
1953,15.167585,2.524970
1954,14.126834,2.527923
1955,14.820071,2.716614
1956,15.338377,2.835461
1957,15.749509,2.869636
1958,16.420816,2.891376
1959,13.927793,2.985590
1960,12.799189,3.112931
1961,10.150545,3.071906
1962,7.470161,3.120741
1963,4.968883,3.215595
1964,4.184659,3.315825
1965,2.911928,3.391959
1966,1.955831,3.484865
1967,0.533695,3.523155
1968,0.964748,3.640223
1969,1.053780,3.802135
1970,0.569445,4.032588
1971,0.565555,4.112597
1972,0.469885,4.219747
1973,0.562840,4.355556
1974,0.514453,4.253289
1975,0.512443,4.173319
1976,0.575573,4.310191
1977,0.638283,4.352449
1978,0.700989,4.432504
1979,0.763896,4.465701
1980,0.833703,4.364099
1981,1.286061,4.168842
1982,0.599927,4.060496
1983,0.602194,4.023942
1984,0.598818,4.068703
1985,0.550728,4.137420
1986,0.548334,4.122175
1987,1.137339,4.179654
1988,1.358030,4.262697
1989,0.899608,4.241189
1990,0.076844,4.266701
1991,0.098093,4.282473
1992,0.097225,4.090168
1993,0.092575,4.068620
1994,0.089439,4.047994
1995,0.097055,4.083544
1996,0.091294,4.148108
1997,0.081964,4.114970
1998,0.079377,4.044522
1999,0.076692,4.079117
2000,0.070808,4.133621
2001,0.083149,4.107635
2002,0.104606,4.144280
2003,0.104476,4.307030
2004,0.115298,4.399256
2005,0.091048,4.493561
2006,0.079412,4.585831
2007,0.066005,4.661509
2008,0.105417,4.682571
2009,0.087665,4.545518
2010,0.098685,4.744937
2011,0.090447,4.848876
2012,0.057576,4.854014
2013,0.075474,4.837742
2014,0.053891,4.804597
2015,0.043726,4.739116
2016,0.049616,4.682487
2017,0.043526,4.705259
2018,0.061054,4.752195
2019,0.040895,4.747814
2020,0.022094,4.457744
2021,0.022631,4.634748
2022,0,4.678452
2023,0,4.707772
2024,0,4.729075
