"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-39.550518,-4.216513,-3.309174,-21.623639,6.882390
1991,-40.128219,-3.525058,-2.462955,-21.615098,6.887362
1992,-36.520393,-6.420423,-2.463058,-21.610811,6.887362
1993,-33.590127,-5.712912,-2.467361,-21.593538,6.887362
1994,-33.671261,-5.445245,-2.468192,-21.592318,6.887362
1995,-34.350003,-4.571360,-2.469236,-21.585651,6.928724
1996,-36.350631,-4.598715,-2.471311,-21.589085,6.935483
1997,-35.238635,-5.585156,-2.470606,-21.627269,6.935483
1998,-35.756025,-6.204278,-2.586754,-21.645190,6.937604
1999,-34.830157,-6.902213,-2.478927,-21.615589,6.951523
2000,-35.408684,-7.387574,-2.494852,-21.646285,6.981511
2001,-32.837988,-11.345643,-2.496598,-21.651725,6.999591
2002,-33.495923,-10.179749,-2.502980,-21.620130,7.007438
2003,-31.182268,-10.608896,-2.558011,-21.472962,7.062173
2004,-27.497833,-11.119297,-2.310300,-21.045284,6.970655
2005,-24.194954,-11.676220,-2.540567,-21.463695,6.882588
2006,-29.992366,-9.294937,-2.719634,-21.624196,6.847379
2007,-30.806858,-9.953260,-2.984029,-20.843478,6.682984
2008,-33.209996,-8.991398,-2.775275,-19.199388,6.549497
2009,-36.178494,-8.339695,-3.128194,-18.663008,6.413285
2010,-35.945039,-9.344392,-3.195548,-19.262152,6.427305
2011,-33.025732,-10.729015,-3.220132,-19.324737,6.104763
2012,-30.888200,-10.836612,-3.558841,-19.827772,5.947717
2013,-30.109576,-10.643462,-4.096501,-20.243450,5.994610
2014,-28.734587,-10.336582,-3.771720,-20.005930,6.128648
2015,-29.818107,-8.649172,-3.240610,-19.602391,6.277404
2016,-23.856203,-9.664908,-4.473802,-19.084482,6.292976
2017,-16.859280,-11.033070,-4.978573,-19.349657,6.524455
2018,-11.522336,-11.923287,-4.736051,-19.778700,6.797790
2019,-9.115321,-12.502362,-5.297882,-19.526096,6.998499
2020,-5.400986,-13.503922,-5.555769,-20.214218,7.086903
2021,-5.831000,-12.435899,-5.709152,-20.060701,7.328248
2022,-14.000364,-9.924542,-6.104053,-19.937401,7.547490
2023,-21.040557,-7.376367,-6.354482,-19.935628,7.550786
2024,-32.222608,-4.906028,-6.423194,-19.930980,7.545827
