"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,12.592315,1.021722,4.090557
1991,12.758188,1.086649,3.781069
1992,13.083058,1.143037,4.277600
1993,12.432122,1.085607,4.279453
1994,12.615062,1.111996,4.645473
1995,12.820191,1.112964,4.510377
1996,12.729432,1.113021,4.380907
1997,12.578985,1.119569,4.550242
1998,12.422678,1.144982,4.788751
1999,12.614805,1.155440,4.875019
2000,12.651756,1.109942,4.833535
2001,12.742184,1.205383,4.820565
2002,12.986983,1.295160,4.962374
2003,12.975102,1.354672,5.114558
2004,12.877073,1.437799,5.407759
2005,12.857725,1.440646,5.707344
2006,12.695084,1.506867,5.769127
2007,12.767882,1.580021,5.917835
2008,12.435068,1.590926,5.793981
2009,12.433171,1.575942,5.407366
2010,12.170388,1.673313,5.733063
2011,11.865994,1.741841,5.537831
2012,11.375324,1.694858,4.983198
2013,11.262344,1.658710,4.687003
2014,11.172047,1.615437,4.416801
2015,11.393168,1.647830,4.243972
2016,11.177351,1.553571,3.810328
2017,11.028817,1.565719,3.578172
2018,10.515431,1.519641,3.382690
2019,10.419647,1.553990,3.379582
2020,9.487960,1.536835,3.250231
2021,9.387103,1.554226,3.340719
2022,8.396727,1.340714,2.885774
2023,8.217378,1.376779,2.913238
