"Year","Combined heat and power generation","Heat plants","Pulp, paper and print","Residential: Stationary combustion","Road transportation","All other Manufacturing industries and construction","All others"
1990,1.484141,0.796679,13.432206,4.184738,0.002210,2.607842,0.371685
1991,1.803936,0.916064,15.506758,4.374381,0.003105,2.670796,0.294141
1992,1.791524,0.908975,15.681987,4.510693,0.003960,3.327732,0.208115
1993,2.747963,1.206983,16.029369,4.681832,0.004632,3.205393,0.243035
1994,3.604775,1.367569,16.867983,4.469629,0.006896,3.900720,0.208113
1995,4.219371,1.843837,16.340211,4.691703,0.009468,4.024378,0.218437
1996,6.164659,2.344086,15.680288,4.740267,0.013682,4.180261,0.246409
1997,5.262864,1.920281,17.208388,4.457591,0.017478,3.973265,0.238769
1998,5.537205,2.056244,17.261929,4.109151,0.045949,4.023313,0.232024
1999,4.175202,4.024119,16.649269,4.009174,0.050805,4.025811,0.211989
2000,4.238977,3.715579,17.048054,4.022376,0.058930,2.111746,0.279389
2001,4.940047,4.498833,19.141954,3.902464,0.080927,2.483874,0.362037
2002,6.236527,4.148492,19.538053,4.078118,0.140581,2.326685,0.437219
2003,7.306389,4.075276,18.146222,4.566330,0.251136,2.270973,0.395682
2004,6.701847,4.237427,19.906511,4.361577,0.450063,2.177820,0.519253
2005,7.582372,4.814803,19.454522,4.555247,0.467866,1.930302,0.536990
2006,7.716681,5.078145,20.236013,4.243818,0.636056,2.626478,0.589614
2007,7.518503,5.530142,21.136245,4.568480,0.826592,2.321608,0.706276
2008,8.436115,6.014246,20.981531,4.668460,0.995765,2.109215,0.713423
2009,9.361370,6.062609,20.187689,5.077721,1.040654,2.064451,0.654175
2010,10.487322,6.977989,22.916790,5.014890,1.130305,2.207051,0.657495
2011,12.039814,3.429999,20.463253,5.069127,1.327178,2.077524,0.747923
2012,11.248296,4.721924,20.921281,4.900823,1.580470,2.059841,0.830733
2013,11.364281,4.997561,21.029774,4.775008,1.842143,0.221898,0.838789
2014,10.803922,4.315730,20.740733,4.516078,2.395207,2.313995,0.796416
2015,10.569938,4.726409,21.438418,4.464107,2.869497,2.431621,0.831876
2016,11.352822,5.055997,21.505159,4.529523,3.648309,2.599353,1.034086
2017,12.015975,4.899101,21.856474,4.514971,4.130420,2.848377,1.139549
2018,11.740959,4.980459,21.389201,3.900583,4.509957,2.843519,1.156659
2019,12.041525,4.887792,22.107793,3.897701,4.314912,0.916274,1.102762
2020,10.779833,4.563191,22.838576,3.879843,4.260655,3.056534,1.098284
2021,13.196274,5.307163,22.043695,4.021423,4.574631,2.921215,1.061586
2022,12.548291,5.010701,22.949692,3.676968,5.218340,3.071821,1.225680
2023,12.105717,5.094614,22.513232,3.546959,4.864882,2.888359,1.093588
2024,10.885354,4.942665,22.285370,3.546959,2.435140,2.438845,0.818335
