"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar"
2016,0,0.191160,-13.097436,6.177000,-0.843001,0.046000
2017,0.171695,-0.339729,2.912437,2.484000,2.130000,0.087000
2018,0.169889,0.101081,-2.846000,2.793000,-0.986000,0.177000
2019,-0.214316,-0.088544,3.139000,-1.467000,3.224000,0.272000
2020,-0.505604,-0.180444,6.964000,-17.072000,7.679000,0.372000
2021,0.082950,0.178517,1.492000,3.730000,-0.418000,0.475000
2022,-0.108089,-0.133171,-4.013000,-0.929000,5.979000,0.454000
2023,0.027996,0.009653,-3.644000,-3.444000,0.988000,1.134000
2024,-0.104610,0.010160,-1.426164,2.078344,6.497617,-0.000000
2025,-0.061689,-0.073397,0.988965,-2.708117,1.336726,0.031712
