"Year","Sweden","World"
1950,4.085131,2.372741
1951,4.730439,2.509281
1952,4.848825,2.496828
1953,4.539597,2.519009
1954,4.779145,2.522133
1955,5.381838,2.710743
1956,5.931992,2.829705
1957,5.278952,2.864250
1958,5.682730,2.886446
1959,5.690235,2.981084
1960,6.562286,3.109071
1961,6.475252,3.068418
1962,6.761843,3.117449
1963,7.246634,3.212604
1964,7.848344,3.313059
1965,8.066557,3.389338
1966,9.273354,3.482441
1967,8.744495,3.521091
1968,9.776798,3.638560
1969,10.819910,3.800910
1970,11.496070,4.031813
1971,10.467025,4.112250
1972,10.434367,4.219880
1973,10.701260,4.358162
1974,9.742626,4.257539
1975,9.819566,4.190445
1976,10.699759,4.342568
1977,10.373610,4.387958
1978,9.597104,4.445411
1979,10.230019,4.491730
1980,8.627975,4.385349
1981,8.333267,4.204303
1982,7.464190,4.095304
1983,6.973976,4.047822
1984,6.845789,4.114002
1985,7.433213,4.177916
1986,7.371769,4.164586
1987,7.074514,4.215461
1988,6.781317,4.303169
1989,6.528030,4.285587
1990,6.728796,4.275440
1991,6.719813,4.288762
1992,6.663945,4.101485
1993,6.630107,4.079975
1994,6.880946,4.061836
1995,6.794752,4.097368
1996,7.214285,4.164388
1997,6.628520,4.131378
1998,6.660351,4.059213
1999,6.326404,4.096031
2000,6.192061,4.148800
2001,6.276177,4.125716
2002,6.350585,4.162733
2003,6.393143,4.327484
2004,6.276681,4.421495
2005,5.951929,4.515645
2006,5.902199,4.611727
2007,5.782661,4.688505
2008,5.511422,4.708763
2009,5.078620,4.572416
2010,5.662054,4.774950
2011,5.197909,4.878259
2012,4.888241,4.887112
2013,4.684635,4.868795
2014,4.459877,4.830362
2015,4.408225,4.767311
2016,4.361724,4.713752
2017,4.219291,4.735624
2018,4.138677,4.780249
2019,3.976809,4.778430
2020,3.539649,4.479880
2021,3.690965,4.676995
2022,3.552296,4.676281
2023,3.444778,4.697341
