"Year","IND_prod","IND_cons","EU27_prod","EU27_cons","USA_prod","USA_cons","CHN_prod","CHN_cons"
1990,0.577997,0.575240,3.865492,4.395093,5.122496,5.047884,2.484855,2.321050
1991,0.615366,0.596628,3.803036,4.284118,5.064987,4.962093,2.606096,2.401029
1992,0.655448,0.646378,3.674375,4.599468,5.175220,5.148217,2.730788,2.577371
1993,0.677300,0.651706,3.607042,4.294510,5.274363,5.208202,2.921651,2.758274
1994,0.716269,0.684847,3.588562,4.177582,5.365579,5.310463,3.100002,2.748222
1995,0.761449,0.719423,3.636726,4.236753,5.427798,5.371032,3.357909,2.992187
1996,0.825201,0.768699,3.720685,4.188392,5.616431,5.538584,3.503234,3.122029
1997,0.858935,0.803935,3.654736,4.102556,5.691865,5.643258,3.510169,3.055200
1998,0.876952,0.820290,3.645694,4.156648,5.737129,5.807569,3.360455,2.957130
1999,0.950951,0.903167,3.590544,4.150567,5.810331,5.985869,3.552842,3.167126
2000,0.978104,0.905620,3.602432,4.199595,6.016351,6.244751,3.644464,3.256258
2001,0.991732,0.913154,3.659970,4.209789,5.911989,6.168974,3.723731,3.352691
2002,1.022175,0.928201,3.661412,4.194046,5.952699,6.295762,4.112459,3.658000
2003,1.058725,0.981077,3.744551,4.354063,6.015804,6.488179,4.827446,4.067041
2004,1.124518,1.035428,3.755608,4.418633,6.117963,6.623224,5.223755,4.321465
2005,1.184927,1.095646,3.735897,4.509551,6.137603,6.729185,5.876555,4.714850
2006,1.258643,1.151740,3.745674,4.607410,6.057163,6.716711,6.488804,5.131892
2007,1.356953,1.268807,3.710596,4.614827,6.135287,6.651804,6.978612,5.546232
2008,1.461518,1.360786,3.627085,4.583480,5.918869,6.327503,7.496832,5.970326
2009,1.611416,1.525795,3.332202,4.140558,5.482978,5.784665,7.886533,6.724771
2010,1.676495,1.577572,3.432635,4.302438,5.681392,5.971112,8.616653,7.340542
2011,1.778473,1.642313,3.332923,4.162821,5.546629,5.822865,9.528556,8.140481
2012,1.962594,1.820424,3.260143,3.895490,5.345454,5.656314,9.779282,8.504236
2013,2.037415,1.815656,3.177125,3.772278,5.480926,5.743123,9.956308,8.732364
2014,2.187343,1.992493,3.040193,3.658650,5.528871,5.842337,9.998621,8.824854
2015,2.270766,2.125896,3.092725,3.606486,5.376578,5.795042,9.866904,8.875267
2016,2.383816,2.208970,3.099745,3.625086,5.251758,5.663945,9.764980,8.872891
2017,2.434868,2.289075,3.123227,3.662204,5.210958,5.635312,10.011107,9.150193
2018,2.600446,2.431703,3.049199,3.690520,5.376657,5.804678,10.353877,9.626587
2019,2.626459,2.467513,2.906417,3.529995,5.259144,5.692484,10.740996,9.959170
2020,2.445012,2.276881,2.621796,3.209158,4.715691,5.197398,10.956213,10.033402
