"Year","World","RoW","China","USA","EU27","India"
2000,25.453622,11.212272,3.644464,6.016351,3.602432,0.978104
2001,25.668048,11.380627,3.723731,5.911989,3.659970,0.991732
2002,26.281037,11.532293,4.112459,5.952699,3.661412,1.022175
2003,27.651596,12.005070,4.827446,6.015804,3.744551,1.058725
2004,28.636695,12.414852,5.223755,6.117963,3.755608,1.124518
2005,29.614602,12.679620,5.876555,6.137603,3.735897,1.184927
2006,30.593117,13.042833,6.488804,6.057163,3.745674,1.258643
2007,31.506789,13.325341,6.978612,6.135287,3.710596,1.356953
2008,32.085836,13.581532,7.496832,5.918869,3.627085,1.461518
2009,31.564031,13.250902,7.886533,5.482978,3.332202,1.611416
2010,33.364346,13.957172,8.616653,5.681392,3.432635,1.676495
2011,34.487012,14.300431,9.528556,5.546629,3.332923,1.778473
2012,35.006268,14.658794,9.779282,5.345454,3.260143,1.962594
2013,35.319202,14.667427,9.956308,5.480926,3.177125,2.037415
2014,35.577535,14.822506,9.998621,5.528871,3.040193,2.187343
2015,35.558566,14.951593,9.866904,5.376578,3.092725,2.270766
2016,35.524193,15.023894,9.764980,5.251758,3.099745,2.383816
2017,36.096739,15.316579,10.011107,5.210958,3.123227,2.434868
2018,36.826507,15.446327,10.353877,5.376657,3.049199,2.600446
2019,37.082559,15.549543,10.740996,5.259144,2.906417,2.626459
2020,35.264086,14.525373,10.956213,4.715691,2.621796,2.445012
2021,37.123850,15.141448,11.472367,5.007336,2.793016,2.709684
