"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1971,0.191964,2.859791,658700,569999178
1972,0.203036,3.009091,655055,582837973
1973,0.209095,3.071965,676643,596107483
1974,0.215853,3.254355,684663,609721951
1975,0.234209,3.499240,747309,623524219
1976,0.244750,3.670035,759738,637451448
1977,0.258962,3.881952,814855,651685628
1978,0.263150,4.035502,861404,666267760
1979,0.276285,4.258652,816282,681248383
1980,0.291711,4.386956,871265,696828385
1981,0.314966,4.857424,923595,712869298
1982,0.325380,4.809776,955697,729169466
1983,0.352199,5.058181,1025356,745826546
1984,0.361560,5.403307,1064533,762895156
1985,0.397592,5.703346,1120466,780242084
1986,0.426310,6.104126,1173986,797878993
1987,0.455343,6.490273,1220539,815716125
1988,0.491693,7.064285,1338050,833729681
1989,0.540651,7.716289,1417628,852012673
1990,0.577997,8.282525,1496072,870452165
1991,0.615366,8.739587,1511883,888941756
1992,0.655448,9.189980,1594770,907574049
1993,0.677300,9.418493,1670534,926351297
1994,0.716269,9.925637,1781774,945261958
1995,0.761449,10.667225,1916734,964279129
1996,0.825201,11.093873,2061438,983281218
1997,0.858935,11.707236,2144923,1002335230
1998,0.876952,12.418188,2277574,1021434576
1999,0.950951,12.778160,2479042,1040500054
2000,0.978104,13.422652,2574262,1059633675
2001,0.991732,13.477869,2698444,1078970907
2002,1.022175,13.916705,2801092,1098313039
2003,1.058725,14.414681,3021268,1117415123
2004,1.124518,15.651295,3260642,1136264583
2005,1.184927,16.572996,3563387,1154638713
2006,1.258643,17.458993,3893498,1172373788
2007,1.356953,18.947201,4275113,1189691809
2008,1.461518,20.054509,4441456,1206734806
2009,1.611416,21.611649,4818082,1223640160
2010,1.676495,22.570052,5312415,1240613620
2011,1.778473,23.942558,5665073,1257621191
2012,1.962594,25.373116,5974181,1274487215
2013,2.037415,26.259640,6355699,1291132063
2014,2.187343,28.079183,6826671,1307246509
2015,2.270766,28.908728,7383346,1322866505
2016,2.383816,30.163968,7908501,1338636340
2017,2.434868,31.323776,8436882,1354195680
2018,2.600446,33.337262,8981398.364280,1369003306
2019,2.626459,34.148270,9317123.035137,1383112050
2020,2.445012,32.190886,8702565.599739,1396387127
2021,2.709684,35.428369,9458035.319453,1407563842
