"Year","Emissions","Intensity","Crisis1","Crisis2","Crisis3","Crisis4","Crisis5","Crisis6"
1959,8.856221,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1960,9.387669,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1961,9.418460,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1962,9.751059,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1963,10.271655,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1964,10.829612,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1965,11.317596,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1966,11.866934,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1967,12.244029,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1968,12.910892,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1969,13.767399,"NaN",13.899152,"NaN","NaN","NaN","NaN","NaN"
1970,14.898715,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1971,15.505496,649.093457,"NaN","NaN","NaN","NaN","NaN","NaN"
1972,16.228729,642.860934,"NaN","NaN","NaN","NaN","NaN","NaN"
1973,17.086192,632.917724,"NaN","NaN","NaN","NaN","NaN","NaN"
1974,17.017476,611.527485,"NaN","NaN","NaN","NaN","NaN","NaN"
1975,17.054628,604.628024,"NaN",17.133272,"NaN","NaN","NaN","NaN"
1976,17.991887,602.734123,"NaN","NaN","NaN","NaN","NaN","NaN"
1977,18.502845,594.828286,"NaN","NaN","NaN","NaN","NaN","NaN"
1978,19.077192,591.179965,21.069993,"NaN","NaN","NaN","NaN","NaN"
1979,19.618462,584.834840,"NaN","NaN","NaN","NaN","NaN","NaN"
1980,19.501263,570.040916,"NaN","NaN","NaN","NaN","NaN","NaN"
1981,19.036118,546.540639,"NaN","NaN","NaN","NaN","NaN","NaN"
1982,18.884487,538.060794,"NaN","NaN","NaN","NaN","NaN","NaN"
1983,19.006540,528.422068,"NaN","NaN","NaN","NaN","NaN","NaN"
1984,19.664754,525.157658,"NaN",22.724949,"NaN","NaN","NaN","NaN"
1985,20.325487,525.371279,"NaN","NaN",20.150295,"NaN","NaN","NaN"
1986,20.627358,514.755562,"NaN","NaN","NaN","NaN","NaN","NaN"
1987,21.273904,512.846019,"NaN","NaN","NaN","NaN","NaN","NaN"
1988,22.107795,511.028309,"NaN","NaN","NaN","NaN","NaN","NaN"
1989,22.410402,500.255157,"NaN","NaN","NaN","NaN","NaN","NaN"
1990,22.757481,493.681565,"NaN","NaN","NaN","NaN","NaN","NaN"
1991,23.244806,498.178077,"NaN","NaN","NaN","NaN","NaN","NaN"
1992,22.580023,475.107695,"NaN","NaN","NaN","NaN","NaN","NaN"
1993,22.812900,471.208617,"NaN","NaN","NaN",22.634883,"NaN","NaN"
1994,22.969498,460.767247,"NaN","NaN",25.235535,"NaN","NaN","NaN"
1995,23.458713,455.394453,"NaN","NaN","NaN","NaN","NaN","NaN"
1996,24.159382,451.615875,"NaN","NaN","NaN","NaN","NaN","NaN"
1997,24.302583,437.018555,"NaN","NaN","NaN","NaN","NaN","NaN"
1998,24.213261,424.705832,"NaN","NaN","NaN","NaN","NaN","NaN"
1999,24.732388,419.193741,"NaN","NaN","NaN","NaN","NaN","NaN"
2000,25.453622,412.013907,"NaN","NaN","NaN","NaN","NaN","NaN"
2001,25.668048,405.772948,"NaN","NaN","NaN","NaN","NaN","NaN"
2002,26.281037,404.183576,"NaN","NaN","NaN",26.387208,"NaN","NaN"
2003,27.651596,409.846570,"NaN","NaN","NaN","NaN","NaN","NaN"
2004,28.636695,403.298453,"NaN","NaN","NaN","NaN",28.569649,"NaN"
2005,29.614602,397.993797,"NaN","NaN","NaN","NaN","NaN","NaN"
2006,30.593117,390.190252,"NaN","NaN","NaN","NaN","NaN","NaN"
2007,31.506789,381.216517,"NaN","NaN","NaN","NaN","NaN","NaN"
2008,32.085836,377.367004,"NaN","NaN","NaN","NaN","NaN","NaN"
2009,31.564031,372.255464,"NaN","NaN","NaN","NaN","NaN","NaN"
2010,33.364346,373.825094,"NaN","NaN","NaN","NaN","NaN","NaN"
2011,34.487012,371.357026,"NaN","NaN","NaN","NaN","NaN","NaN"
2012,35.006268,364.846596,"NaN","NaN","NaN","NaN","NaN","NaN"
2013,35.319202,355.996876,"NaN","NaN","NaN","NaN",36.481071,"NaN"
2014,35.577535,346.481295,"NaN","NaN","NaN","NaN","NaN","NaN"
2015,35.558566,335.048062,"NaN","NaN","NaN","NaN","NaN",35.342439
2016,35.524193,324.400167,"NaN","NaN","NaN","NaN","NaN","NaN"
2017,36.096739,317.877969,"NaN","NaN","NaN","NaN","NaN","NaN"
2018,36.826507,313.014086,"NaN","NaN","NaN","NaN","NaN","NaN"
2019,37.082559,306.584623,"NaN","NaN","NaN","NaN","NaN","NaN"
2020,35.264086,300.421622,"NaN","NaN","NaN","NaN","NaN","NaN"
2021,37.123850,298.304411,"NaN","NaN","NaN","NaN","NaN","NaN"
2022,37.487770,291.910853,"NaN","NaN","NaN","NaN","NaN","NaN"
2024,"NaN","NaN","NaN","NaN","NaN","NaN","NaN",39.257709
