"Year","LUC","LUC_upper","LUC_lower"
1959,7.104252,9.669052,4.539452
1960,6.568086,9.132886,4.003286
1961,6.106056,8.670856,3.541256
1962,5.892689,8.457489,3.327889
1963,5.652575,8.217375,3.087775
1964,5.475726,8.040526,2.910926
1965,5.066701,7.631501,2.501901
1966,4.847716,7.412516,2.282916
1967,4.924905,7.489705,2.360105
1968,4.977422,7.542222,2.412622
1969,4.665982,7.230782,2.101182
1970,4.598686,7.163486,2.033886
1971,4.585862,7.150662,2.021062
1972,4.590503,7.155303,2.025703
1973,4.447607,7.012407,1.882807
1974,4.320955,6.885755,1.756155
1975,4.370053,6.934853,1.805253
1976,4.304834,6.869634,1.740034
1977,4.407181,6.971981,1.842381
1978,4.223371,6.788171,1.658571
1979,4.059468,6.624268,1.494668
1980,4.084627,6.649427,1.519827
1981,4.391793,6.956593,1.826993
1982,4.408891,6.973691,1.844091
1983,4.804847,7.369647,2.240047
1984,5.306083,7.870883,2.741283
1985,5.080380,7.645180,2.515580
1986,5.116654,7.681454,2.551854
1987,5.112868,7.677668,2.548068
1988,5.058518,7.623318,2.493718
1989,4.868845,7.433645,2.304045
1990,4.877273,7.442073,2.312473
1991,4.757215,7.322015,2.192415
1992,4.890707,7.455507,2.325907
1993,4.876418,7.441218,2.311618
1994,5.295823,7.860623,2.731023
1995,5.288251,7.853051,2.723451
1996,5.285076,7.849876,2.720276
1997,7.104862,9.669662,4.540062
1998,5.486718,8.051518,2.921918
1999,5.489038,8.053838,2.924238
2000,5.115921,7.680721,2.551121
2001,4.739018,7.303818,2.174218
2002,5.177232,7.742032,2.612432
2003,5.652819,8.217619,3.088019
2004,5.362264,7.927064,2.797464
2005,4.716667,7.281467,2.151867
2006,5.073297,7.638097,2.508497
2007,4.436982,7.001782,1.872182
2008,4.643021,7.207821,2.078221
2009,5.033725,7.598525,2.468925
2010,4.837701,7.402501,2.272901
2011,4.964109,7.528909,2.399309
2012,4.826954,7.391754,2.262154
2013,4.628121,7.192921,2.063321
2014,4.917699,7.482499,2.352899
2015,5.385714,7.950514,2.820914
2016,4.527849,7.092649,1.963049
2017,4.331947,6.896747,1.767147
2018,4.181357,6.746157,1.616557
2019,4.557283,7.122083,1.992483
2020,4.057758,6.622558,1.492958
2021,3.939044,6.503844,1.374244
