"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1971,15.505496,213.454775,23887925,3770163092
1972,16.228729,224.889863,25244541,3844800885
1973,17.086192,238.049622,26995914,3920251504
1974,17.017476,239.499920,27827819,3995517077
1975,17.054628,240.672448,28206810,4069437231
1976,17.991887,253.521311,29850453,4142505882
1977,18.502845,262.841041,31106196,4215772490
1978,19.077192,273.481907,32269687,4289657708.000000
1979,19.618462,282.874116,33545303,4365582871
1980,19.501263,280.559643,34210287.000000,4444007706
1981,19.036118,279.380284,34830197,4524627658
1982,18.884487,277.849972,35097311,4607984871
1983,19.006540,282.348613,35968482,4691884238
1984,19.664754,295.828118,37445429,4775836074
1985,20.325487,303.470419,38687853,4861730613
1986,20.627358,310.261956,40072143,4950063339
1987,21.273904,321.082848,41482050,5040984495
1988,22.107795,333.217587,43261390,5132293974
1989,22.410402,339.675236,44797942,5223704308
1990,22.757481,343.898230,46097489,5316175862
1991,23.244806,346.373281,46659632,5406245867
1992,22.580023,348.552644,47526116,5492686093
1993,22.812900,351.291068,48413588,5577433523
1994,22.969498,355.774790,49850545,5660727993
1995,23.458713,363.776454,51512953,5743219454
1996,24.159382,374.193388,53495423,5825145298
1997,24.302583,377.990771,55609957,5906481261
1998,24.213261,380.420680,57011839,5987312480
1999,24.732388,387.046269,58999899,6067758458
2000,25.453622,396.881692,61778551,6148898975
2001,25.668048,400.756551,63257170,6230746982
2002,26.281037,409.533976,65022527,6312407360
2003,27.651596,424.088967,67468166,6393898365
2004,28.636695,444.970832,71006211,6475751478
2005,29.614602,459.233728,74409708,6558176119
2006,30.593117,472.287736,78405641,6641416218
2007,31.506789,486.912413,82648017,6725948544
2008,32.085836,492.527580,85025548,6811597272
2009,31.564031,485.018877,84791316,6898305908
2010,33.364346,508.677158,89251222,6985603105
2011,34.487012,520.897830,92867535,7073125425
2012,35.006268,528.175795,95947908,7161697921
2013,35.319202,537.561893,99212111,7250593370
2014,35.577535,543.520492,102682411,7339013419
2015,35.558566,548.138137,106129746,7426597537
2016,35.524193,555.907619,109507321,7513474238
2017,36.096739,566.662855,113555335,7599822404
2018,36.826507,582.381476,117651275.933450,7683789828
2019,37.082559,587.426241,120953747.248902,7764951032
2020,35.264086,564.011788,117381983.092642,7840952880
2021,37.123850,595.150850,124449552.294650,7909295151
