"Year","China","USA","EU27","India","Russia","Japan","United Kingdom","All others"
1850,0,10.052477,27.522129,0,0.035265,0,62.268786,0.121344
1851,0,11.227164,28.174710,0,0.017547,0,60.464643,0.115936
1852,0,11.805543,29.137493,0,0.011510,0,58.930535,0.114920
1853,0,12.356369,30.099293,0,0.008463,0,57.418779,0.117096
1854,0,12.508218,30.612872,0,0.006455,0,56.749750,0.122704
1855,0,12.928833,31.449644,0,0.020960,0,55.461989,0.138574
1856,0,13.188338,32.019306,0,0.017357,0,54.630263,0.144736
1857,0,13.407170,32.591621,0,0.014791,0,53.835597,0.150821
1858,0,13.570200,33.200227,0.018120,0.026440,0,53.014712,0.170301
1859,0,13.749000,33.360090,0.041598,0.035878,0,52.622205,0.191230
1860,0,13.819413,33.443790,0.059596,0.046406,0,52.407176,0.223619
1861,0,13.744153,33.683156,0.068783,0.057968,0,52.179407,0.266533
1862,0,13.709595,34.105229,0.077521,0.065647,0,51.744366,0.297642
1863,0,13.786917,34.378298,0.085674,0.072055,0,51.351025,0.326032
1864,0,13.845853,34.633118,0.090982,0.078210,0,50.998701,0.353136
1865,0,13.823968,34.931364,0.094653,0.082333,0,50.681813,0.385869
1866,0,13.777226,35.173843,0.098860,0.107790,0,50.405553,0.436728
1867,0,13.901721,35.393670,0.090502,0.132878,0,49.990275,0.490955
1868,0,14.131736,35.648582,0.083272,0.148443,0.000179,49.467547,0.520243
1869,0,14.432631,35.822246,0.076760,0.169572,0.000440,48.956050,0.542302
1870,0,14.735023,35.924513,0.071079,0.189922,0.000662,48.508396,0.570404
1871,0,14.987513,36.030103,0.065895,0.217246,0.000944,48.088551,0.609749
1872,0,15.374072,36.142276,0.060975,0.240140,0.001267,47.537529,0.643741
1873,0,15.784982,36.265999,0.056494,0.256506,0.001619,46.966905,0.667496
1874,0,16.156539,36.206954,0.052857,0.278622,0.007572,46.600940,0.696515
1875,0,16.413099,36.305763,0.049407,0.301995,0.020987,46.181344,0.727405
1876,0,16.596995,36.463856,0.046338,0.331633,0.032396,45.768441,0.760341
1877,0,16.862347,36.506163,0.043578,0.358327,0.041454,45.393008,0.795122
1878,0,17.064313,36.597535,0.055312,0.395306,0.054038,45.001079,0.832418
1879,0,17.417849,36.658127,0.064912,0.428092,0.068494,44.492985,0.869541
1880,0,17.773614,36.771336,0.074396,0.463119,0.081048,43.904301,0.932186
1881,0,18.130926,36.809262,0.082317,0.496245,0.092428,43.401379,0.987443
1882,0,18.549633,36.846599,0.091326,0.527068,0.102842,42.837230,1.045303
1883,0,18.965210,36.891035,0.100437,0.560327,0.112880,42.262950,1.107160
1884,0,19.399325,36.928177,0.110088,0.590452,0.123103,41.678060,1.170794
1885,0,19.803679,36.971293,0.117232,0.622330,0.134265,41.118800,1.232402
1886,0,20.227847,36.989604,0.125123,0.651995,0.145467,40.569702,1.290261
1887,0,20.655008,37.002366,0.133319,0.680499,0.159332,40.014649,1.354826
1888,0,21.230809,36.958176,0.141532,0.705064,0.174088,39.365279,1.425052
1889,0,21.584124,37.018525,0.151530,0.731778,0.191984,38.833763,1.488295
1890,0,22.076917,37.022489,0.161525,0.760496,0.209279,38.220370,1.548923
1891,0,22.566805,37.015735,0.171435,0.790954,0.229575,37.609506,1.615991
1892,0,23.082714,36.966337,0.182020,0.821954,0.247580,37.016862,1.682533
1893,0,23.575598,36.971629,0.192736,0.862061,0.265754,36.373488,1.758735
1894,0,23.890136,37.002453,0.202415,0.898542,0.289985,35.884245,1.832224
1895,0,24.285800,36.982595,0.215154,0.940167,0.315030,35.354765,1.906489
1896,0,24.612781,37.007003,0.228148,0.978068,0.339412,34.853318,1.981269
1897,0,24.914645,37.047632,0.241348,1.022629,0.362686,34.353109,2.057951
1898,0,25.252593,37.069055,0.255163,1.071090,0.393138,33.817788,2.141174
1899,0,25.665472,37.025377,0.269082,1.125312,0.419233,33.266062,2.229462
1900,0,26.067112,36.998885,0.285666,1.184970,0.447121,32.695544,2.320702
1901,0,26.530314,36.912528,0.303214,1.240116,0.480844,32.107296,2.425687
1902,0,27.017273,36.761928,0.321810,1.285121,0.514676,31.572292,2.526900
1903,0,27.629782,36.578292,0.338009,1.318677,0.545120,30.967782,2.622338
1904,0,28.145706,36.421297,0.356126,1.358702,0.579133,30.407202,2.731835
1905,0,28.736881,36.249198,0.372278,1.380760,0.610073,29.821664,2.829146
1906,0,29.307226,36.051439,0.391062,1.409601,0.642376,29.259711,2.938586
1907,0.035069,29.937220,35.850864,0.409532,1.437594,0.671494,28.604749,3.053478
1908,0.071642,30.309692,35.794834,0.432283,1.466210,0.703407,28.046432,3.175500
1909,0.107192,30.773860,35.667210,0.450951,1.494622,0.732135,27.494158,3.279872
1910,0.140446,31.290396,35.500273,0.465939,1.515414,0.758381,26.937224,3.391929
1911,0.170086,31.721253,35.353678,0.481171,1.536510,0.788827,26.429095,3.519379
1912,0.186152,32.163405,35.242869,0.499226,1.563714,0.821943,25.872610,3.650081
1913,0.209708,32.581933,35.124052,0.517784,1.590804,0.855829,25.329429,3.790462
1914,0.235272,32.941373,34.950722,0.537207,1.612848,0.895102,24.918518,3.908958
1915,0.257398,33.352332,34.711080,0.557196,1.627252,0.925491,24.561052,4.008200
1916,0.282610,33.811331,34.441536,0.574448,1.640572,0.957591,24.179187,4.112727
1917,0.307494,34.347109,34.124127,0.591043,1.644004,0.995546,23.778298,4.212378
1918,0.333594,34.942917,33.788769,0.611390,1.608072,1.035522,23.382902,4.296834
1919,0.362954,35.385917,33.434718,0.637133,1.578723,1.085867,23.117629,4.397059
1920,0.390863,35.885544,33.114164,0.649753,1.541571,1.122451,22.769275,4.526379
1921,0.417124,36.195520,32.987275,0.666907,1.514962,1.154070,22.391747,4.672394
1922,0.442356,36.446445,32.843613,0.681495,1.492099,1.186534,22.108310,4.799148
1923,0.470236,36.959813,32.490014,0.693403,1.467123,1.216291,21.778762,4.924358
1924,0.498317,37.259172,32.314053,0.706831,1.448377,1.247046,21.487548,5.038657
1925,0.521939,37.578322,32.148274,0.718690,1.429964,1.277708,21.184917,5.140186
1926,0.542474,38.022234,31.982301,0.730097,1.425720,1.307681,20.742759,5.246734
1927,0.562007,38.300814,31.838307,0.740393,1.427182,1.337824,20.450137,5.343336
1928,0.581796,38.542315,31.727953,0.748729,1.433857,1.368549,20.155824,5.440976
1929,0.599584,38.784005,31.638170,0.756128,1.440752,1.396215,19.852808,5.532338
1930,0.618708,38.945202,31.548643,0.765443,1.469367,1.419214,19.602340,5.631082
1931,0.640350,39.027961,31.478390,0.774008,1.514671,1.439309,19.403346,5.721965
1932,0.661383,39.042221,31.405400,0.782141,1.571737,1.462011,19.249385,5.825722
1933,0.683352,39.073435,31.318559,0.788559,1.634880,1.491184,19.077609,5.932422
1934,0.708494,39.085195,31.222445,0.795907,1.712155,1.522677,18.897290,6.055837
1935,0.738279,39.086983,31.124596,0.803124,1.798715,1.554229,18.707341,6.186733
1936,0.766616,39.137261,30.986434,0.807637,1.895093,1.587174,18.498753,6.321032
1937,0.789288,39.164081,30.884492,0.813179,1.986107,1.620834,18.277225,6.464794
1938,0.806269,39.086029,30.845218,0.822941,2.083323,1.659148,18.085207,6.611863
1939,0.828894,39.046962,30.785297,0.830405,2.174388,1.690806,17.879095,6.764153
1940,0.857714,39.035211,30.686004,0.837245,2.283661,1.731378,17.655133,6.913654
1941,0.897294,39.093556,30.562715,0.843901,2.365562,1.769429,17.429456,7.038088
