"Year","population","Emissions/population"
1,1.425893,8.045739
2,1.407564,1.925088
3,0.445051,6.275720
4,0.336998,14.858668
5,0.273753,2.262174
6,0.231402,0.991833
7,0.214326,2.281014
8,0.213401,0.641920
9,0.169356,0.550177
10,0.145103,12.098650
