"Year","Coal","Oil","Gas","Others","Land-use change"
1850,0.196896,0,0,0,2.424713
1851,0.198805,0,0,0,2.513138
1852,0.207551,0,0,0,2.550999
1853,0.217209,0,0,0,2.608524
1854,0.255139,0,0,0,2.630874
1855,0.260129,0.000037,0,0,2.643820
1856,0.277251,0.000040,0,0,2.676063
1857,0.279838,0.000051,0,0,2.699879
1858,0.284109,0.000062,0,0,2.731268
1859,0.301257,0.000055,0,0,2.760824
1860,0.330368,0.000273,0,0,2.649805
1861,0.346794,0.000941,0,0,2.524740
1862,0.352658,0.001399,0,0,2.504710
1863,0.376566,0.001293,0,0,2.504833
1864,0.405980,0.001110,0,0,2.472101
1865,0.430987,0.001320,0,0,2.443155
1866,0.444018,0.001952,0,0,2.432896
1867,0.475830,0.001985,0,0,2.434239
1868,0.488464,0.002289,0,0,2.418362
1869,0.518516,0.002614,0,0,2.394546
1870,0.529404,0.003133,0,0,2.572983
1871,0.562861,0.003282,0,0,2.684613
1872,0.622674,0.003698,0,0,2.740550
1873,0.659749,0.005670,0,0,2.811631
1874,0.616754,0.006243,0,0,2.862683
1875,0.669964,0.005835,0,0,2.890530
1876,0.679017,0.006536,0,0,2.929857
1877,0.690274,0.008824,0,0,2.975901
1878,0.694339,0.010041,0,0,3.026220
1879,0.742208,0.012660,0,0,3.065058
1880,0.838340,0.015364,0,0.000000,3.100721
1881,0.865162,0.017242,0,0.000000,3.096935
1882,0.912817,0.018939,0.000165,0.000000,3.159834
1883,0.974149,0.016502,0.000381,0.000000,3.220534
1884,0.982679,0.018323,0.001172,0.000000,3.240197
1885,0.986996,0.018959,0.003715,0.000000,3.243861
1886,0.995975,0.021824,0.007676,0.000000,3.272074
1887,1.041488,0.023482,0.011787,0.000001,3.325813
1888,1.150917,0.024581,0.016774,0.000001,3.324103
1889,1.151165,0.028407,0.012227,0.000001,3.345721
1890,1.252118,0.034651,0.011688,0.000001,3.466633
1891,1.309094,0.040832,0.008947,0.000001,3.563851
1892,1.322106,0.040207,0.007775,0.000001,3.599147
1893,1.303833,0.042547,0.007288,0.000001,3.667420
1894,1.352457,0.041702,0.006698,0.000001,3.702838
1895,1.429691,0.048539,0.007042,0.000001,3.743387
1896,1.474281,0.052571,0.006848,0.000001,3.776607
1897,1.543481,0.055531,0.007288,0.000001,3.814835
1898,1.628632,0.057173,0.008460,0.000001,3.845979
1899,1.779860,0.060032,0.010904,0.000001,3.887748
1900,1.873357,0.067310,0.011542,0.000001,4.002798
1901,1.929132,0.074750,0.012861,0.000002,4.052018
1902,1.973178,0.080808,0.013696,0.000002,4.117237
1903,2.154003,0.085562,0.014528,0.000003,4.129939
1904,2.166664,0.096083,0.015165,0.000003,4.192959
1905,2.311143,0.097017,0.017170,0.000004,4.228622
1906,2.415683,0.097893,0.019027,0.000004,4.243767
1907,2.746956,0.119416,0.019877,0.000005,4.281506
1908,2.626020,0.128759,0.019676,0.000115,4.313627
1909,2.730134,0.134349,0.023523,0.000116,4.339153
1910,2.862583,0.143839,0.024915,0.000135,4.319245
1911,2.898529,0.152546,0.025718,0.000148,4.311062
1912,3.047940,0.156759,0.028315,0.000177,4.247797
1913,3.292070,0.181575,0.029598,0.000203,4.233752
1914,2.961773,0.185583,0.030136,0.000147,4.227523
1915,2.902828,0.197104,0.031866,0.000160,4.183311
1916,3.129373,0.214632,0.038377,0.000181,4.129572
1917,3.257893,0.238808,0.040509,0.000148,4.129939
1918,3.209469,0.244605,0.036519,0.000120,4.149846
1919,2.715321,0.272966,0.037948,0.000125,4.122244
1920,3.125927,0.350954,0.041685,0.000149,4.257202
1921,2.668397,0.384258,0.034992,0.000130,4.366633
1922,2.770670,0.426345,0.040107,0.000193,4.422326
1923,3.146423,0.473527,0.052526,0.000208,4.433684
1924,3.152649,0.470812,0.059709,0.000216,4.463607
1925,3.151418,0.492787,0.063922,0.014429,4.519666
1926,3.081757,0.490648,0.069144,0.014740,4.507086
1927,3.361539,0.537816,0.076017,0.015448,4.519544
1928,3.305359,0.549539,0.082623,0.035616,4.537009
1929,3.522251,0.602778,0.102894,0.036873,4.543116
1930,3.214073,0.578598,0.104224,0.035561,4.566443
1931,2.830540,0.560749,0.092887,0.030931,4.627876
1932,2.519949,0.536592,0.088218,0.024721,4.681126
1933,2.635638,0.586389,0.090917,0.023866,4.707629
1934,2.878247,0.620413,0.101949,0.028542,4.741949
1935,2.996885,0.668785,0.111372,0.032090,4.741949
1936,3.285172,0.729131,0.125529,0.038763,4.773459
1937,3.463736,0.821516,0.140574,0.040829,4.777856
1938,3.228046,0.796989,0.135493,0.038551,4.806191
1939,3.435326,0.830241,0.141328,0.035687,4.813030
1940,3.794017,0.872467,0.153515,0.031431,5.018092
1941,3.884161,0.880697,0.153463,0.043293,5.169171
1942,3.909448,0.835716,0.166049,0.038376,5.201414
1943,3.925039,0.888001,0.182900,0.034810,5.216803
1944,3.867923,1.018141,0.197601,0.022664,5.214971
